<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;03/02/17;10:01:00;60006.0000000;60095.0000000;59941.0000000;59996.0000000;16451
SPFB.Si;1;03/02/17;10:02:00;59996.0000000;60055.0000000;59957.0000000;60049.0000000;11854
SPFB.Si;1;03/02/17;10:03:00;60046.0000000;60080.0000000;60013.0000000;60027.0000000;7253
SPFB.Si;1;03/02/17;10:04:00;60028.0000000;60074.0000000;60002.0000000;60008.0000000;9592
SPFB.Si;1;03/02/17;10:05:00;60008.0000000;60013.0000000;59880.0000000;59905.0000000;15713
SPFB.Si;1;03/02/17;10:06:00;59907.0000000;59962.0000000;59903.0000000;59917.0000000;8603
SPFB.Si;1;03/02/17;10:07:00;59918.0000000;59921.0000000;59868.0000000;59894.0000000;7284
SPFB.Si;1;03/02/17;10:08:00;59894.0000000;59901.0000000;59850.0000000;59868.0000000;9371
SPFB.Si;1;03/02/17;10:09:00;59867.0000000;59870.0000000;59804.0000000;59807.0000000;11243
SPFB.Si;1;03/02/17;10:10:00;59808.0000000;59829.0000000;59801.0000000;59825.0000000;7375
SPFB.Si;1;03/02/17;10:11:00;59826.0000000;59827.0000000;59756.0000000;59779.0000000;15021
SPFB.Si;1;03/02/17;10:12:00;59779.0000000;59812.0000000;59769.0000000;59776.0000000;9368
SPFB.Si;1;03/02/17;10:13:00;59776.0000000;59778.0000000;59733.0000000;59752.0000000;6627
SPFB.Si;1;03/02/17;10:14:00;59752.0000000;59767.0000000;59735.0000000;59749.0000000;6801
SPFB.Si;1;03/02/17;10:15:00;59747.0000000;59790.0000000;59746.0000000;59786.0000000;7941
SPFB.Si;1;03/02/17;10:16:00;59785.0000000;59804.0000000;59757.0000000;59777.0000000;9503
SPFB.Si;1;03/02/17;10:17:00;59776.0000000;59820.0000000;59767.0000000;59814.0000000;6128
SPFB.Si;1;03/02/17;10:18:00;59817.0000000;59820.0000000;59784.0000000;59809.0000000;6162
SPFB.Si;1;03/02/17;10:19:00;59808.0000000;59820.0000000;59806.0000000;59820.0000000;3196
SPFB.Si;1;03/02/17;10:20:00;59818.0000000;59849.0000000;59805.0000000;59830.0000000;10140
SPFB.Si;1;03/02/17;10:21:00;59831.0000000;59860.0000000;59820.0000000;59857.0000000;7652
SPFB.Si;1;03/02/17;10:22:00;59859.0000000;59860.0000000;59831.0000000;59858.0000000;6592
SPFB.Si;1;03/02/17;10:23:00;59857.0000000;59862.0000000;59778.0000000;59801.0000000;14299
SPFB.Si;1;03/02/17;10:24:00;59797.0000000;59829.0000000;59787.0000000;59814.0000000;5088
SPFB.Si;1;03/02/17;10:25:00;59811.0000000;59828.0000000;59778.0000000;59819.0000000;9995
SPFB.Si;1;03/02/17;10:26:00;59819.0000000;59831.0000000;59813.0000000;59825.0000000;3787
SPFB.Si;1;03/02/17;10:27:00;59822.0000000;59848.0000000;59814.0000000;59831.0000000;5206
SPFB.Si;1;03/02/17;10:28:00;59830.0000000;59848.0000000;59827.0000000;59838.0000000;2828
SPFB.Si;1;03/02/17;10:29:00;59837.0000000;59857.0000000;59835.0000000;59853.0000000;4224
SPFB.Si;1;03/02/17;10:30:00;59854.0000000;59858.0000000;59831.0000000;59838.0000000;5567
SPFB.Si;1;03/02/17;10:31:00;59839.0000000;59898.0000000;59836.0000000;59873.0000000;8094
SPFB.Si;1;03/02/17;10:32:00;59874.0000000;59889.0000000;59860.0000000;59875.0000000;4937
SPFB.Si;1;03/02/17;10:33:00;59875.0000000;59909.0000000;59855.0000000;59904.0000000;4584
SPFB.Si;1;03/02/17;10:34:00;59901.0000000;59906.0000000;59887.0000000;59901.0000000;2057
SPFB.Si;1;03/02/17;10:35:00;59905.0000000;59947.0000000;59902.0000000;59936.0000000;10038
SPFB.Si;1;03/02/17;10:36:00;59936.0000000;59963.0000000;59926.0000000;59962.0000000;5196
SPFB.Si;1;03/02/17;10:37:00;59960.0000000;59986.0000000;59950.0000000;59957.0000000;6279
SPFB.Si;1;03/02/17;10:38:00;59958.0000000;59965.0000000;59902.0000000;59930.0000000;8486
SPFB.Si;1;03/02/17;10:39:00;59930.0000000;59936.0000000;59908.0000000;59923.0000000;2401
SPFB.Si;1;03/02/17;10:40:00;59922.0000000;59929.0000000;59906.0000000;59918.0000000;3053
SPFB.Si;1;03/02/17;10:41:00;59918.0000000;59929.0000000;59907.0000000;59907.0000000;1942
SPFB.Si;1;03/02/17;10:42:00;59909.0000000;59913.0000000;59867.0000000;59868.0000000;5856
SPFB.Si;1;03/02/17;10:43:00;59868.0000000;59895.0000000;59855.0000000;59855.0000000;8429
SPFB.Si;1;03/02/17;10:44:00;59855.0000000;59887.0000000;59849.0000000;59869.0000000;7227
SPFB.Si;1;03/02/17;10:45:00;59869.0000000;59890.0000000;59861.0000000;59886.0000000;2245
SPFB.Si;1;03/02/17;10:46:00;59886.0000000;59931.0000000;59882.0000000;59931.0000000;8673
SPFB.Si;1;03/02/17;10:47:00;59929.0000000;59933.0000000;59896.0000000;59897.0000000;2644
SPFB.Si;1;03/02/17;10:48:00;59897.0000000;59897.0000000;59865.0000000;59874.0000000;2441
SPFB.Si;1;03/02/17;10:49:00;59873.0000000;59887.0000000;59865.0000000;59878.0000000;2574
SPFB.Si;1;03/02/17;10:50:00;59875.0000000;59908.0000000;59874.0000000;59904.0000000;2503
SPFB.Si;1;03/02/17;10:51:00;59906.0000000;59931.0000000;59900.0000000;59920.0000000;4031
SPFB.Si;1;03/02/17;10:52:00;59917.0000000;59921.0000000;59909.0000000;59913.0000000;958
SPFB.Si;1;03/02/17;10:53:00;59914.0000000;59941.0000000;59913.0000000;59932.0000000;2183
SPFB.Si;1;03/02/17;10:54:00;59932.0000000;59933.0000000;59905.0000000;59907.0000000;2869
SPFB.Si;1;03/02/17;10:55:00;59907.0000000;59916.0000000;59865.0000000;59882.0000000;6100
SPFB.Si;1;03/02/17;10:56:00;59882.0000000;59882.0000000;59850.0000000;59873.0000000;3652
SPFB.Si;1;03/02/17;10:57:00;59873.0000000;59892.0000000;59868.0000000;59890.0000000;2378
SPFB.Si;1;03/02/17;10:58:00;59890.0000000;59903.0000000;59868.0000000;59886.0000000;3786
SPFB.Si;1;03/02/17;10:59:00;59887.0000000;59889.0000000;59874.0000000;59879.0000000;933
SPFB.Si;1;03/02/17;11:00:00;59880.0000000;59926.0000000;59866.0000000;59920.0000000;7625
SPFB.Si;1;03/02/17;11:01:00;59919.0000000;59953.0000000;59903.0000000;59930.0000000;13179
SPFB.Si;1;03/02/17;11:02:00;59928.0000000;59962.0000000;59923.0000000;59952.0000000;8953
SPFB.Si;1;03/02/17;11:03:00;59952.0000000;59968.0000000;59946.0000000;59963.0000000;5690
SPFB.Si;1;03/02/17;11:04:00;59963.0000000;59975.0000000;59946.0000000;59952.0000000;5105
SPFB.Si;1;03/02/17;11:05:00;59952.0000000;59962.0000000;59934.0000000;59957.0000000;3453
SPFB.Si;1;03/02/17;11:06:00;59957.0000000;59958.0000000;59933.0000000;59940.0000000;2917
SPFB.Si;1;03/02/17;11:07:00;59942.0000000;59956.0000000;59927.0000000;59945.0000000;3731
SPFB.Si;1;03/02/17;11:08:00;59943.0000000;59953.0000000;59933.0000000;59936.0000000;1589
SPFB.Si;1;03/02/17;11:09:00;59937.0000000;59963.0000000;59930.0000000;59952.0000000;2620
SPFB.Si;1;03/02/17;11:10:00;59955.0000000;59973.0000000;59955.0000000;59973.0000000;3217
SPFB.Si;1;03/02/17;11:11:00;59973.0000000;59985.0000000;59966.0000000;59968.0000000;6431
SPFB.Si;1;03/02/17;11:12:00;59967.0000000;59970.0000000;59955.0000000;59963.0000000;2506
SPFB.Si;1;03/02/17;11:13:00;59963.0000000;59972.0000000;59940.0000000;59948.0000000;2289
SPFB.Si;1;03/02/17;11:14:00;59948.0000000;59949.0000000;59924.0000000;59926.0000000;1906
SPFB.Si;1;03/02/17;11:15:00;59929.0000000;59941.0000000;59913.0000000;59927.0000000;4017
SPFB.Si;1;03/02/17;11:16:00;59930.0000000;59953.0000000;59927.0000000;59939.0000000;1775
