<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;26/10/18;10:01:00;66053.0000000;66196.0000000;66053.0000000;66172.0000000;15781
SPFB.Si;1;26/10/18;10:02:00;66172.0000000;66203.0000000;66124.0000000;66153.0000000;12889
SPFB.Si;1;26/10/18;10:03:00;66151.0000000;66158.0000000;66089.0000000;66105.0000000;8606
SPFB.Si;1;26/10/18;10:04:00;66105.0000000;66126.0000000;66083.0000000;66084.0000000;10766
SPFB.Si;1;26/10/18;10:05:00;66084.0000000;66108.0000000;66064.0000000;66108.0000000;5253
SPFB.Si;1;26/10/18;10:06:00;66108.0000000;66119.0000000;66100.0000000;66102.0000000;4133
SPFB.Si;1;26/10/18;10:07:00;66100.0000000;66104.0000000;66073.0000000;66080.0000000;3084
SPFB.Si;1;26/10/18;10:08:00;66080.0000000;66080.0000000;66052.0000000;66057.0000000;4323
SPFB.Si;1;26/10/18;10:09:00;66056.0000000;66072.0000000;66018.0000000;66071.0000000;8166
SPFB.Si;1;26/10/18;10:10:00;66069.0000000;66089.0000000;66061.0000000;66076.0000000;3515
SPFB.Si;1;26/10/18;10:11:00;66077.0000000;66110.0000000;66075.0000000;66108.0000000;4383
SPFB.Si;1;26/10/18;10:12:00;66107.0000000;66112.0000000;66100.0000000;66109.0000000;945
SPFB.Si;1;26/10/18;10:13:00;66109.0000000;66118.0000000;66069.0000000;66074.0000000;4158
SPFB.Si;1;26/10/18;10:14:00;66072.0000000;66074.0000000;65935.0000000;66007.0000000;21616
SPFB.Si;1;26/10/18;10:15:00;66008.0000000;66039.0000000;66007.0000000;66039.0000000;5558
SPFB.Si;1;26/10/18;10:16:00;66037.0000000;66082.0000000;66036.0000000;66046.0000000;5919
SPFB.Si;1;26/10/18;10:17:00;66046.0000000;66051.0000000;66022.0000000;66039.0000000;2657
SPFB.Si;1;26/10/18;10:18:00;66040.0000000;66058.0000000;66020.0000000;66037.0000000;2127
SPFB.Si;1;26/10/18;10:19:00;66037.0000000;66044.0000000;66022.0000000;66024.0000000;1672
SPFB.Si;1;26/10/18;10:20:00;66024.0000000;66033.0000000;66013.0000000;66025.0000000;1432
SPFB.Si;1;26/10/18;10:21:00;66029.0000000;66046.0000000;66024.0000000;66028.0000000;1752
SPFB.Si;1;26/10/18;10:22:00;66028.0000000;66035.0000000;66021.0000000;66034.0000000;890
SPFB.Si;1;26/10/18;10:23:00;66034.0000000;66056.0000000;66034.0000000;66038.0000000;2442
SPFB.Si;1;26/10/18;10:24:00;66042.0000000;66072.0000000;66039.0000000;66068.0000000;1642
SPFB.Si;1;26/10/18;10:25:00;66069.0000000;66083.0000000;66053.0000000;66068.0000000;1738
SPFB.Si;1;26/10/18;10:26:00;66066.0000000;66090.0000000;66058.0000000;66088.0000000;3720
SPFB.Si;1;26/10/18;10:27:00;66087.0000000;66092.0000000;66052.0000000;66054.0000000;3993
SPFB.Si;1;26/10/18;10:28:00;66054.0000000;66063.0000000;66033.0000000;66055.0000000;2926
SPFB.Si;1;26/10/18;10:29:00;66051.0000000;66105.0000000;66051.0000000;66093.0000000;3765
SPFB.Si;1;26/10/18;10:30:00;66093.0000000;66099.0000000;66079.0000000;66085.0000000;2793
SPFB.Si;1;26/10/18;10:31:00;66085.0000000;66097.0000000;66080.0000000;66085.0000000;3934
SPFB.Si;1;26/10/18;10:32:00;66085.0000000;66087.0000000;66044.0000000;66054.0000000;2726
SPFB.Si;1;26/10/18;10:33:00;66051.0000000;66060.0000000;66042.0000000;66057.0000000;1236
SPFB.Si;1;26/10/18;10:34:00;66054.0000000;66068.0000000;66050.0000000;66064.0000000;2210
SPFB.Si;1;26/10/18;10:35:00;66063.0000000;66079.0000000;66049.0000000;66049.0000000;4168
SPFB.Si;1;26/10/18;10:36:00;66050.0000000;66064.0000000;66048.0000000;66054.0000000;1060
SPFB.Si;1;26/10/18;10:37:00;66055.0000000;66061.0000000;66040.0000000;66040.0000000;1109
SPFB.Si;1;26/10/18;10:38:00;66040.0000000;66069.0000000;66026.0000000;66069.0000000;5956
SPFB.Si;1;26/10/18;10:39:00;66068.0000000;66072.0000000;66051.0000000;66054.0000000;2061
SPFB.Si;1;26/10/18;10:40:00;66054.0000000;66065.0000000;66040.0000000;66045.0000000;2291
SPFB.Si;1;26/10/18;10:41:00;66049.0000000;66075.0000000;66041.0000000;66068.0000000;1521
SPFB.Si;1;26/10/18;10:42:00;66065.0000000;66081.0000000;66057.0000000;66071.0000000;2517
SPFB.Si;1;26/10/18;10:43:00;66073.0000000;66076.0000000;66047.0000000;66056.0000000;1340
SPFB.Si;1;26/10/18;10:44:00;66053.0000000;66057.0000000;66043.0000000;66049.0000000;573
SPFB.Si;1;26/10/18;10:45:00;66050.0000000;66063.0000000;66042.0000000;66057.0000000;784
SPFB.Si;1;26/10/18;10:46:00;66059.0000000;66061.0000000;66030.0000000;66047.0000000;2044
SPFB.Si;1;26/10/18;10:47:00;66047.0000000;66048.0000000;66035.0000000;66042.0000000;613
SPFB.Si;1;26/10/18;10:48:00;66043.0000000;66054.0000000;66036.0000000;66041.0000000;1057
SPFB.Si;1;26/10/18;10:49:00;66038.0000000;66042.0000000;66007.0000000;66018.0000000;3341
SPFB.Si;1;26/10/18;10:50:00;66019.0000000;66019.0000000;65988.0000000;66004.0000000;2128
SPFB.Si;1;26/10/18;10:51:00;66000.0000000;66004.0000000;65990.0000000;66003.0000000;1688
SPFB.Si;1;26/10/18;10:52:00;66004.0000000;66034.0000000;66000.0000000;66024.0000000;1733
SPFB.Si;1;26/10/18;10:53:00;66027.0000000;66027.0000000;66010.0000000;66021.0000000;554
SPFB.Si;1;26/10/18;10:54:00;66019.0000000;66023.0000000;66002.0000000;66016.0000000;488
SPFB.Si;1;26/10/18;10:55:00;66014.0000000;66033.0000000;66010.0000000;66013.0000000;588
SPFB.Si;1;26/10/18;10:56:00;66016.0000000;66033.0000000;66016.0000000;66029.0000000;675
SPFB.Si;1;26/10/18;10:57:00;66028.0000000;66044.0000000;66025.0000000;66037.0000000;1578
SPFB.Si;1;26/10/18;10:58:00;66038.0000000;66050.0000000;66025.0000000;66029.0000000;1542
SPFB.Si;1;26/10/18;10:59:00;66030.0000000;66047.0000000;66024.0000000;66036.0000000;414
SPFB.Si;1;26/10/18;11:00:00;66040.0000000;66045.0000000;66016.0000000;66023.0000000;3344
SPFB.Si;1;26/10/18;11:01:00;66026.0000000;66031.0000000;66004.0000000;66011.0000000;1607
SPFB.Si;1;26/10/18;11:02:00;66012.0000000;66012.0000000;65992.0000000;66010.0000000;3714
SPFB.Si;1;26/10/18;11:03:00;66010.0000000;66026.0000000;66005.0000000;66022.0000000;1620
SPFB.Si;1;26/10/18;11:04:00;66019.0000000;66047.0000000;66019.0000000;66044.0000000;2171
SPFB.Si;1;26/10/18;11:05:00;66047.0000000;66050.0000000;66031.0000000;66043.0000000;2290
SPFB.Si;1;26/10/18;11:06:00;66043.0000000;66060.0000000;66041.0000000;66049.0000000;1728
SPFB.Si;1;26/10/18;11:07:00;66049.0000000;66059.0000000;66044.0000000;66047.0000000;713
SPFB.Si;1;26/10/18;11:08:00;66054.0000000;66062.0000000;66047.0000000;66062.0000000;1311
SPFB.Si;1;26/10/18;11:09:00;66062.0000000;66064.0000000;66040.0000000;66046.0000000;1972
SPFB.Si;1;26/10/18;11:10:00;66050.0000000;66057.0000000;66044.0000000;66049.0000000;1631
SPFB.Si;1;26/10/18;11:11:00;66052.0000000;66053.0000000;66038.0000000;66040.0000000;1096
SPFB.Si;1;26/10/18;11:12:00;66041.0000000;66058.0000000;66041.0000000;66045.0000000;770
SPFB.Si;1;26/10/18;11:13:00;66050.0000000;66066.0000000;66050.0000000;66062.0000000;2942
SPFB.Si;1;26/10/18;11:14:00;66064.0000000;66069.0000000;66052.0000000;66060.0000000;3281
SPFB.Si;1;26/10/18;11:15:00;66059.0000000;66065.0000000;66048.0000000;66061.0000000;1347
SPFB.Si;1;26/10/18;11:16:00;66062.0000000;66064.0000000;66047.0000000;66058.0000000;1014
SPFB.Si;1;26/10/18;11:17:00;66059.0000000;66063.0000000;66055.0000000;66057.0000000;767
SPFB.Si;1;26/10/18;11:18:00;66056.0000000;66061.0000000;66053.0000000;66054.0000000;1977
SPFB.Si;1;26/10/18;11:19:00;66054.0000000;66057.0000000;66047.0000000;66052.0000000;891
SPFB.Si;1;26/10/18;11:20:00;66054.0000000;66057.0000000;66050.0000000;66056.0000000;353
SPFB.Si;1;26/10/18;11:21:00;66056.0000000;66062.0000000;66051.0000000;66055.0000000;462
SPFB.Si;1;26/10/18;11:22:00;66054.0000000;66058.0000000;66052.0000000;66055.0000000;190
SPFB.Si;1;26/10/18;11:23:00;66055.0000000;66065.0000000;66046.0000000;66047.0000000;1701
SPFB.Si;1;26/10/18;11:24:00;66049.0000000;66069.0000000;66046.0000000;66067.0000000;882
SPFB.Si;1;26/10/18;11:25:00;66066.0000000;66100.0000000;66061.0000000;66100.0000000;6819
SPFB.Si;1;26/10/18;11:26:00;66096.0000000;66106.0000000;66078.0000000;66081.0000000;3255
SPFB.Si;1;26/10/18;11:27:00;66079.0000000;66108.0000000;66072.0000000;66104.0000000;3819
SPFB.Si;1;26/10/18;11:28:00;66103.0000000;66120.0000000;66098.0000000;66106.0000000;2870
SPFB.Si;1;26/10/18;11:29:00;66107.0000000;66115.0000000;66094.0000000;66096.0000000;2144
SPFB.Si;1;26/10/18;11:30:00;66099.0000000;66112.0000000;66096.0000000;66103.0000000;1675
SPFB.Si;1;26/10/18;11:31:00;66100.0000000;66112.0000000;66084.0000000;66086.0000000;2121
SPFB.Si;1;26/10/18;11:32:00;66087.0000000;66092.0000000;66082.0000000;66091.0000000;1127
SPFB.Si;1;26/10/18;11:33:00;66091.0000000;66095.0000000;66077.0000000;66082.0000000;1971
SPFB.Si;1;26/10/18;11:34:00;66082.0000000;66089.0000000;66070.0000000;66080.0000000;2040
SPFB.Si;1;26/10/18;11:35:00;66079.0000000;66086.0000000;66075.0000000;66082.0000000;437
SPFB.Si;1;26/10/18;11:36:00;66080.0000000;66084.0000000;66074.0000000;66078.0000000;924
SPFB.Si;1;26/10/18;11:37:00;66078.0000000;66106.0000000;66077.0000000;66095.0000000;3448
SPFB.Si;1;26/10/18;11:38:00;66095.0000000;66097.0000000;66079.0000000;66083.0000000;2342
SPFB.Si;1;26/10/18;11:39:00;66083.0000000;66098.0000000;66083.0000000;66095.0000000;455
SPFB.Si;1;26/10/18;11:40:00;66096.0000000;66100.0000000;66083.0000000;66089.0000000;2551
SPFB.Si;1;26/10/18;11:41:00;66089.0000000;66095.0000000;66082.0000000;66086.0000000;2709
SPFB.Si;1;26/10/18;11:42:00;66086.0000000;66101.0000000;66084.0000000;66099.0000000;1377
SPFB.Si;1;26/10/18;11:43:00;66101.0000000;66135.0000000;66098.0000000;66135.0000000;5303
SPFB.Si;1;26/10/18;11:44:00;66135.0000000;66140.0000000;66125.0000000;66128.0000000;3531
SPFB.Si;1;26/10/18;11:45:00;66129.0000000;66138.0000000;66125.0000000;66133.0000000;2562
SPFB.Si;1;26/10/18;11:46:00;66133.0000000;66141.0000000;66131.0000000;66136.0000000;2283
SPFB.Si;1;26/10/18;11:47:00;66135.0000000;66143.0000000;66112.0000000;66116.0000000;2242
SPFB.Si;1;26/10/18;11:48:00;66117.0000000;66125.0000000;66117.0000000;66119.0000000;934
SPFB.Si;1;26/10/18;11:49:00;66121.0000000;66136.0000000;66114.0000000;66118.0000000;1918
SPFB.Si;1;26/10/18;11:50:00;66116.0000000;66121.0000000;66111.0000000;66111.0000000;2181
SPFB.Si;1;26/10/18;11:51:00;66111.0000000;66117.0000000;66110.0000000;66116.0000000;690
SPFB.Si;1;26/10/18;11:52:00;66115.0000000;66120.0000000;66103.0000000;66104.0000000;2934
SPFB.Si;1;26/10/18;11:53:00;66105.0000000;66108.0000000;66095.0000000;66100.0000000;1281
SPFB.Si;1;26/10/18;11:54:00;66100.0000000;66107.0000000;66090.0000000;66097.0000000;1165
SPFB.Si;1;26/10/18;11:55:00;66097.0000000;66099.0000000;66081.0000000;66086.0000000;3156
SPFB.Si;1;26/10/18;11:56:00;66089.0000000;66097.0000000;66083.0000000;66093.0000000;1424
SPFB.Si;1;26/10/18;11:57:00;66093.0000000;66106.0000000;66086.0000000;66101.0000000;902
SPFB.Si;1;26/10/18;11:58:00;66100.0000000;66101.0000000;66062.0000000;66077.0000000;4701
SPFB.Si;1;26/10/18;11:59:00;66077.0000000;66082.0000000;66048.0000000;66068.0000000;4016
