<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;25/10/19;10:01:00;64530.0000000;64530.0000000;64384.0000000;64418.0000000;46903
SPFB.Si;1;25/10/19;10:02:00;64416.0000000;64424.0000000;64403.0000000;64422.0000000;9110
SPFB.Si;1;25/10/19;10:03:00;64419.0000000;64426.0000000;64414.0000000;64424.0000000;5063
SPFB.Si;1;25/10/19;10:04:00;64424.0000000;64448.0000000;64419.0000000;64444.0000000;5345
SPFB.Si;1;25/10/19;10:05:00;64444.0000000;64457.0000000;64441.0000000;64452.0000000;3249
SPFB.Si;1;25/10/19;10:06:00;64453.0000000;64453.0000000;64440.0000000;64441.0000000;3321
SPFB.Si;1;25/10/19;10:07:00;64441.0000000;64445.0000000;64434.0000000;64443.0000000;1770
SPFB.Si;1;25/10/19;10:08:00;64443.0000000;64457.0000000;64438.0000000;64453.0000000;5532
SPFB.Si;1;25/10/19;10:09:00;64453.0000000;64475.0000000;64447.0000000;64470.0000000;7741
SPFB.Si;1;25/10/19;10:10:00;64470.0000000;64475.0000000;64456.0000000;64458.0000000;4432
SPFB.Si;1;25/10/19;10:11:00;64460.0000000;64492.0000000;64452.0000000;64484.0000000;6891
SPFB.Si;1;25/10/19;10:12:00;64484.0000000;64500.0000000;64484.0000000;64491.0000000;2278
SPFB.Si;1;25/10/19;10:13:00;64491.0000000;64500.0000000;64486.0000000;64500.0000000;2112
SPFB.Si;1;25/10/19;10:14:00;64498.0000000;64509.0000000;64493.0000000;64495.0000000;1757
SPFB.Si;1;25/10/19;10:15:00;64493.0000000;64494.0000000;64480.0000000;64480.0000000;4743
SPFB.Si;1;25/10/19;10:16:00;64479.0000000;64481.0000000;64460.0000000;64464.0000000;10020
SPFB.Si;1;25/10/19;10:17:00;64463.0000000;64478.0000000;64457.0000000;64471.0000000;4682
SPFB.Si;1;25/10/19;10:18:00;64473.0000000;64487.0000000;64470.0000000;64475.0000000;1942
SPFB.Si;1;25/10/19;10:19:00;64475.0000000;64483.0000000;64473.0000000;64480.0000000;999
SPFB.Si;1;25/10/19;10:20:00;64477.0000000;64491.0000000;64476.0000000;64488.0000000;2085
SPFB.Si;1;25/10/19;10:21:00;64486.0000000;64492.0000000;64472.0000000;64473.0000000;4722
SPFB.Si;1;25/10/19;10:22:00;64473.0000000;64476.0000000;64464.0000000;64467.0000000;1551
SPFB.Si;1;25/10/19;10:23:00;64467.0000000;64470.0000000;64446.0000000;64452.0000000;2986
SPFB.Si;1;25/10/19;10:24:00;64453.0000000;64459.0000000;64451.0000000;64454.0000000;1020
SPFB.Si;1;25/10/19;10:25:00;64454.0000000;64458.0000000;64449.0000000;64454.0000000;1682
SPFB.Si;1;25/10/19;10:26:00;64452.0000000;64456.0000000;64447.0000000;64449.0000000;1014
SPFB.Si;1;25/10/19;10:27:00;64449.0000000;64450.0000000;64436.0000000;64436.0000000;3303
SPFB.Si;1;25/10/19;10:28:00;64437.0000000;64447.0000000;64434.0000000;64435.0000000;2810
SPFB.Si;1;25/10/19;10:29:00;64435.0000000;64437.0000000;64430.0000000;64430.0000000;1115
SPFB.Si;1;25/10/19;10:30:00;64430.0000000;64437.0000000;64426.0000000;64429.0000000;1597
SPFB.Si;1;25/10/19;10:31:00;64432.0000000;64440.0000000;64413.0000000;64432.0000000;12588
SPFB.Si;1;25/10/19;10:32:00;64433.0000000;64441.0000000;64423.0000000;64435.0000000;3678
SPFB.Si;1;25/10/19;10:33:00;64432.0000000;64451.0000000;64431.0000000;64450.0000000;2393
SPFB.Si;1;25/10/19;10:34:00;64448.0000000;64450.0000000;64427.0000000;64430.0000000;2608
SPFB.Si;1;25/10/19;10:35:00;64432.0000000;64436.0000000;64420.0000000;64424.0000000;1614
SPFB.Si;1;25/10/19;10:36:00;64424.0000000;64436.0000000;64422.0000000;64432.0000000;1333
SPFB.Si;1;25/10/19;10:37:00;64434.0000000;64435.0000000;64428.0000000;64429.0000000;456
SPFB.Si;1;25/10/19;10:38:00;64430.0000000;64444.0000000;64429.0000000;64443.0000000;900
SPFB.Si;1;25/10/19;10:39:00;64440.0000000;64445.0000000;64436.0000000;64438.0000000;1127
SPFB.Si;1;25/10/19;10:40:00;64440.0000000;64441.0000000;64434.0000000;64435.0000000;625
SPFB.Si;1;25/10/19;10:41:00;64434.0000000;64438.0000000;64432.0000000;64437.0000000;830
SPFB.Si;1;25/10/19;10:42:00;64435.0000000;64452.0000000;64431.0000000;64447.0000000;1965
SPFB.Si;1;25/10/19;10:43:00;64449.0000000;64449.0000000;64434.0000000;64439.0000000;833
SPFB.Si;1;25/10/19;10:44:00;64437.0000000;64442.0000000;64433.0000000;64442.0000000;2141
SPFB.Si;1;25/10/19;10:45:00;64441.0000000;64449.0000000;64435.0000000;64443.0000000;1358
SPFB.Si;1;25/10/19;10:46:00;64442.0000000;64446.0000000;64434.0000000;64445.0000000;3278
SPFB.Si;1;25/10/19;10:47:00;64445.0000000;64449.0000000;64441.0000000;64445.0000000;1667
SPFB.Si;1;25/10/19;10:48:00;64444.0000000;64452.0000000;64442.0000000;64446.0000000;1160
SPFB.Si;1;25/10/19;10:49:00;64446.0000000;64450.0000000;64443.0000000;64444.0000000;893
SPFB.Si;1;25/10/19;10:50:00;64447.0000000;64448.0000000;64444.0000000;64446.0000000;575
SPFB.Si;1;25/10/19;10:51:00;64446.0000000;64454.0000000;64436.0000000;64452.0000000;2051
SPFB.Si;1;25/10/19;10:52:00;64454.0000000;64455.0000000;64446.0000000;64448.0000000;1127
SPFB.Si;1;25/10/19;10:53:00;64449.0000000;64452.0000000;64447.0000000;64450.0000000;669
SPFB.Si;1;25/10/19;10:54:00;64447.0000000;64451.0000000;64442.0000000;64449.0000000;1141
SPFB.Si;1;25/10/19;10:55:00;64447.0000000;64449.0000000;64444.0000000;64445.0000000;684
SPFB.Si;1;25/10/19;10:56:00;64443.0000000;64448.0000000;64442.0000000;64448.0000000;823
SPFB.Si;1;25/10/19;10:57:00;64448.0000000;64452.0000000;64445.0000000;64450.0000000;657
SPFB.Si;1;25/10/19;10:58:00;64448.0000000;64452.0000000;64445.0000000;64446.0000000;874
SPFB.Si;1;25/10/19;10:59:00;64446.0000000;64458.0000000;64444.0000000;64448.0000000;2763
SPFB.Si;1;25/10/19;11:00:00;64448.0000000;64458.0000000;64446.0000000;64450.0000000;2317
SPFB.Si;1;25/10/19;11:01:00;64449.0000000;64454.0000000;64436.0000000;64439.0000000;9422
SPFB.Si;1;25/10/19;11:02:00;64439.0000000;64440.0000000;64400.0000000;64405.0000000;8832
SPFB.Si;1;25/10/19;11:03:00;64402.0000000;64416.0000000;64400.0000000;64415.0000000;2741
SPFB.Si;1;25/10/19;11:04:00;64414.0000000;64420.0000000;64410.0000000;64416.0000000;1628
SPFB.Si;1;25/10/19;11:05:00;64417.0000000;64420.0000000;64406.0000000;64407.0000000;2230
SPFB.Si;1;25/10/19;11:06:00;64408.0000000;64438.0000000;64406.0000000;64431.0000000;5357
SPFB.Si;1;25/10/19;11:07:00;64432.0000000;64440.0000000;64413.0000000;64418.0000000;3280
SPFB.Si;1;25/10/19;11:08:00;64419.0000000;64419.0000000;64410.0000000;64415.0000000;1049
SPFB.Si;1;25/10/19;11:09:00;64415.0000000;64415.0000000;64405.0000000;64406.0000000;1571
SPFB.Si;1;25/10/19;11:10:00;64409.0000000;64409.0000000;64387.0000000;64392.0000000;3332
SPFB.Si;1;25/10/19;11:11:00;64390.0000000;64390.0000000;64369.0000000;64388.0000000;9315
SPFB.Si;1;25/10/19;11:12:00;64388.0000000;64404.0000000;64383.0000000;64397.0000000;3381
SPFB.Si;1;25/10/19;11:13:00;64397.0000000;64401.0000000;64380.0000000;64383.0000000;6329
SPFB.Si;1;25/10/19;11:14:00;64383.0000000;64406.0000000;64380.0000000;64400.0000000;2637
SPFB.Si;1;25/10/19;11:15:00;64400.0000000;64401.0000000;64391.0000000;64393.0000000;2250
