<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;16/06/17;11:32:00;58851.0000000;58854.0000000;58850.0000000;58851.0000000;140
SPFB.Si;1;16/06/17;11:33:00;58853.0000000;58857.0000000;58848.0000000;58848.0000000;1924
SPFB.Si;1;16/06/17;11:34:00;58848.0000000;58854.0000000;58846.0000000;58852.0000000;825
SPFB.Si;1;16/06/17;11:35:00;58851.0000000;58865.0000000;58851.0000000;58865.0000000;1713
SPFB.Si;1;16/06/17;11:36:00;58863.0000000;58878.0000000;58859.0000000;58873.0000000;3932
SPFB.Si;1;16/06/17;11:37:00;58873.0000000;58883.0000000;58871.0000000;58882.0000000;1643
SPFB.Si;1;16/06/17;11:38:00;58882.0000000;58883.0000000;58871.0000000;58877.0000000;1619
SPFB.Si;1;16/06/17;11:39:00;58876.0000000;58890.0000000;58871.0000000;58886.0000000;2620
SPFB.Si;1;16/06/17;11:40:00;58887.0000000;58890.0000000;58885.0000000;58886.0000000;538
SPFB.Si;1;16/06/17;11:41:00;58886.0000000;58889.0000000;58876.0000000;58878.0000000;1577
SPFB.Si;1;16/06/17;11:42:00;58878.0000000;58881.0000000;58875.0000000;58879.0000000;412
SPFB.Si;1;16/06/17;11:43:00;58877.0000000;58890.0000000;58877.0000000;58887.0000000;613
SPFB.Si;1;16/06/17;11:44:00;58886.0000000;58887.0000000;58877.0000000;58879.0000000;627
SPFB.Si;1;16/06/17;11:45:00;58880.0000000;58891.0000000;58877.0000000;58888.0000000;1305
SPFB.Si;1;16/06/17;11:46:00;58889.0000000;58894.0000000;58884.0000000;58891.0000000;1332
SPFB.Si;1;16/06/17;11:47:00;58893.0000000;58894.0000000;58886.0000000;58889.0000000;343
SPFB.Si;1;16/06/17;11:48:00;58891.0000000;58896.0000000;58887.0000000;58894.0000000;665
SPFB.Si;1;16/06/17;11:49:00;58892.0000000;58908.0000000;58890.0000000;58905.0000000;2695
SPFB.Si;1;16/06/17;11:50:00;58906.0000000;58906.0000000;58898.0000000;58898.0000000;842
SPFB.Si;1;16/06/17;11:51:00;58899.0000000;58900.0000000;58890.0000000;58898.0000000;1350
SPFB.Si;1;16/06/17;11:52:00;58896.0000000;58908.0000000;58893.0000000;58901.0000000;1322
SPFB.Si;1;16/06/17;11:53:00;58899.0000000;58903.0000000;58893.0000000;58894.0000000;1301
SPFB.Si;1;16/06/17;11:54:00;58896.0000000;58897.0000000;58884.0000000;58888.0000000;1512
SPFB.Si;1;16/06/17;11:55:00;58888.0000000;58889.0000000;58878.0000000;58881.0000000;2012
SPFB.Si;1;16/06/17;11:56:00;58881.0000000;58882.0000000;58868.0000000;58870.0000000;4874
SPFB.Si;1;16/06/17;11:57:00;58870.0000000;58875.0000000;58867.0000000;58873.0000000;1284
SPFB.Si;1;16/06/17;11:58:00;58872.0000000;58874.0000000;58867.0000000;58868.0000000;575
SPFB.Si;1;16/06/17;11:59:00;58867.0000000;58869.0000000;58859.0000000;58863.0000000;1293
SPFB.Si;1;16/06/17;12:00:00;58861.0000000;58866.0000000;58860.0000000;58866.0000000;985
SPFB.Si;1;16/06/17;12:01:00;58863.0000000;58878.0000000;58858.0000000;58870.0000000;3831
SPFB.Si;1;16/06/17;12:02:00;58868.0000000;58870.0000000;58862.0000000;58867.0000000;823
SPFB.Si;1;16/06/17;12:03:00;58864.0000000;58871.0000000;58860.0000000;58868.0000000;1043
SPFB.Si;1;16/06/17;12:04:00;58867.0000000;58869.0000000;58847.0000000;58856.0000000;3505
SPFB.Si;1;16/06/17;12:05:00;58855.0000000;58860.0000000;58830.0000000;58837.0000000;4929
SPFB.Si;1;16/06/17;12:06:00;58835.0000000;58856.0000000;58824.0000000;58853.0000000;3995
SPFB.Si;1;16/06/17;12:07:00;58855.0000000;58860.0000000;58847.0000000;58852.0000000;2052
SPFB.Si;1;16/06/17;12:08:00;58853.0000000;58857.0000000;58848.0000000;58851.0000000;2418
SPFB.Si;1;16/06/17;12:09:00;58851.0000000;58859.0000000;58846.0000000;58858.0000000;1267
SPFB.Si;1;16/06/17;12:10:00;58858.0000000;58866.0000000;58858.0000000;58864.0000000;1161
SPFB.Si;1;16/06/17;12:11:00;58863.0000000;58874.0000000;58862.0000000;58871.0000000;2127
SPFB.Si;1;16/06/17;12:12:00;58871.0000000;58878.0000000;58867.0000000;58874.0000000;1115
SPFB.Si;1;16/06/17;12:13:00;58873.0000000;58876.0000000;58869.0000000;58874.0000000;617
SPFB.Si;1;16/06/17;12:14:00;58874.0000000;58875.0000000;58869.0000000;58873.0000000;922
SPFB.Si;1;16/06/17;12:15:00;58874.0000000;58887.0000000;58869.0000000;58887.0000000;2307
SPFB.Si;1;16/06/17;12:16:00;58887.0000000;58890.0000000;58880.0000000;58885.0000000;1716
