<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;18/09/20;10:01:00;75890.0000000;75890.0000000;75650.0000000;75702.0000000;55386
SPFB.Si;1;18/09/20;10:02:00;75703.0000000;75726.0000000;75676.0000000;75682.0000000;15885
SPFB.Si;1;18/09/20;10:03:00;75683.0000000;75695.0000000;75664.0000000;75681.0000000;7981
SPFB.Si;1;18/09/20;10:04:00;75680.0000000;75696.0000000;75673.0000000;75691.0000000;6824
SPFB.Si;1;18/09/20;10:05:00;75695.0000000;75773.0000000;75688.0000000;75742.0000000;18937
SPFB.Si;1;18/09/20;10:06:00;75745.0000000;75759.0000000;75722.0000000;75723.0000000;9888
SPFB.Si;1;18/09/20;10:07:00;75725.0000000;75739.0000000;75692.0000000;75716.0000000;10919
SPFB.Si;1;18/09/20;10:08:00;75719.0000000;75737.0000000;75707.0000000;75727.0000000;9835
SPFB.Si;1;18/09/20;10:09:00;75728.0000000;75728.0000000;75707.0000000;75717.0000000;9122
SPFB.Si;1;18/09/20;10:10:00;75720.0000000;75741.0000000;75703.0000000;75722.0000000;6937
SPFB.Si;1;18/09/20;10:11:00;75722.0000000;75732.0000000;75696.0000000;75723.0000000;11602
SPFB.Si;1;18/09/20;10:12:00;75724.0000000;75737.0000000;75691.0000000;75712.0000000;5208
SPFB.Si;1;18/09/20;10:13:00;75712.0000000;75735.0000000;75702.0000000;75731.0000000;3212
SPFB.Si;1;18/09/20;10:14:00;75733.0000000;75777.0000000;75730.0000000;75772.0000000;11532
SPFB.Si;1;18/09/20;10:15:00;75772.0000000;75800.0000000;75772.0000000;75791.0000000;8036
SPFB.Si;1;18/09/20;10:16:00;75791.0000000;75792.0000000;75761.0000000;75763.0000000;10288
SPFB.Si;1;18/09/20;10:17:00;75766.0000000;75770.0000000;75750.0000000;75760.0000000;5387
SPFB.Si;1;18/09/20;10:18:00;75760.0000000;75786.0000000;75758.0000000;75780.0000000;4462
SPFB.Si;1;18/09/20;10:19:00;75780.0000000;75786.0000000;75764.0000000;75768.0000000;4021
SPFB.Si;1;18/09/20;10:20:00;75769.0000000;75772.0000000;75730.0000000;75745.0000000;6799
SPFB.Si;1;18/09/20;10:21:00;75742.0000000;75749.0000000;75719.0000000;75732.0000000;5938
SPFB.Si;1;18/09/20;10:22:00;75732.0000000;75753.0000000;75730.0000000;75741.0000000;6489
SPFB.Si;1;18/09/20;10:23:00;75738.0000000;75758.0000000;75734.0000000;75745.0000000;4729
