<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;26/04/19;10:01:00;65164.0000000;65227.0000000;65156.0000000;65225.0000000;20639
SPFB.Si;1;26/04/19;10:02:00;65227.0000000;65247.0000000;65201.0000000;65240.0000000;16318
SPFB.Si;1;26/04/19;10:03:00;65242.0000000;65252.0000000;65211.0000000;65225.0000000;13089
SPFB.Si;1;26/04/19;10:04:00;65223.0000000;65229.0000000;65198.0000000;65224.0000000;6600
SPFB.Si;1;26/04/19;10:05:00;65225.0000000;65233.0000000;65219.0000000;65226.0000000;3643
SPFB.Si;1;26/04/19;10:06:00;65226.0000000;65234.0000000;65216.0000000;65231.0000000;3261
SPFB.Si;1;26/04/19;10:07:00;65231.0000000;65237.0000000;65224.0000000;65229.0000000;2459
SPFB.Si;1;26/04/19;10:08:00;65230.0000000;65234.0000000;65217.0000000;65217.0000000;1389
SPFB.Si;1;26/04/19;10:09:00;65216.0000000;65224.0000000;65202.0000000;65224.0000000;3316
SPFB.Si;1;26/04/19;10:10:00;65224.0000000;65236.0000000;65181.0000000;65188.0000000;4511
SPFB.Si;1;26/04/19;10:11:00;65188.0000000;65198.0000000;65167.0000000;65193.0000000;6449
SPFB.Si;1;26/04/19;10:12:00;65194.0000000;65209.0000000;65192.0000000;65202.0000000;3137
SPFB.Si;1;26/04/19;10:13:00;65202.0000000;65207.0000000;65180.0000000;65181.0000000;2638
SPFB.Si;1;26/04/19;10:14:00;65183.0000000;65191.0000000;65178.0000000;65191.0000000;2530
SPFB.Si;1;26/04/19;10:15:00;65191.0000000;65199.0000000;65181.0000000;65190.0000000;3774
SPFB.Si;1;26/04/19;10:16:00;65190.0000000;65220.0000000;65186.0000000;65213.0000000;3281
SPFB.Si;1;26/04/19;10:17:00;65216.0000000;65227.0000000;65209.0000000;65227.0000000;2629
SPFB.Si;1;26/04/19;10:18:00;65224.0000000;65227.0000000;65206.0000000;65209.0000000;1365
SPFB.Si;1;26/04/19;10:19:00;65209.0000000;65231.0000000;65207.0000000;65217.0000000;3750
SPFB.Si;1;26/04/19;10:20:00;65217.0000000;65221.0000000;65198.0000000;65200.0000000;2290
SPFB.Si;1;26/04/19;10:21:00;65198.0000000;65200.0000000;65186.0000000;65194.0000000;1632
SPFB.Si;1;26/04/19;10:22:00;65194.0000000;65218.0000000;65194.0000000;65214.0000000;1596
SPFB.Si;1;26/04/19;10:23:00;65214.0000000;65226.0000000;65211.0000000;65211.0000000;2029
SPFB.Si;1;26/04/19;10:24:00;65211.0000000;65211.0000000;65199.0000000;65199.0000000;1933
SPFB.Si;1;26/04/19;10:25:00;65199.0000000;65201.0000000;65190.0000000;65197.0000000;1626
SPFB.Si;1;26/04/19;10:26:00;65196.0000000;65202.0000000;65190.0000000;65201.0000000;1478
SPFB.Si;1;26/04/19;10:27:00;65204.0000000;65212.0000000;65202.0000000;65210.0000000;1617
