<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.OFZ2;D;02/09/13;00:00:00;10027.0000000;10027.0000000;10027.0000000;10027.0000000;10000
SPFB.OFZ2;D;03/09/13;00:00:00;10030.0000000;10030.0000000;10020.0000000;10020.0000000;11238
SPFB.OFZ2;D;04/09/13;00:00:00;10013.0000000;10013.0000000;10005.0000000;10005.0000000;353
SPFB.OFZ2;D;09/09/13;00:00:00;10011.0000000;10011.0000000;10011.0000000;10011.0000000;50
SPFB.OFZ2;D;10/09/13;00:00:00;10011.0000000;10011.0000000;10008.0000000;10008.0000000;36
SPFB.OFZ2;D;11/09/13;00:00:00;10013.0000000;10025.0000000;10013.0000000;10025.0000000;22500
SPFB.OFZ2;D;16/09/13;00:00:00;10030.0000000;10030.0000000;10030.0000000;10030.0000000;78
SPFB.OFZ2;D;19/09/13;00:00:00;10042.0000000;10042.0000000;10042.0000000;10042.0000000;20
SPFB.OFZ2;D;23/09/13;00:00:00;10030.0000000;10030.0000000;10030.0000000;10030.0000000;3
SPFB.OFZ2;D;25/09/13;00:00:00;10025.0000000;10025.0000000;10025.0000000;10025.0000000;2400
SPFB.OFZ2;D;26/09/13;00:00:00;10020.0000000;10027.0000000;10020.0000000;10026.0000000;2501
SPFB.OFZ2;D;30/09/13;00:00:00;10016.0000000;10016.0000000;10010.0000000;10010.0000000;7501
SPFB.OFZ2;D;02/10/13;00:00:00;10018.0000000;10018.0000000;10018.0000000;10018.0000000;2500
SPFB.OFZ2;D;07/10/13;00:00:00;9985.0000000;9985.0000000;9980.0000000;9980.0000000;10
SPFB.OFZ2;D;08/10/13;00:00:00;10041.0000000;10041.0000000;10041.0000000;10041.0000000;10
SPFB.OFZ2;D;09/10/13;00:00:00;10021.0000000;10022.0000000;10021.0000000;10022.0000000;180
SPFB.OFZ2;D;10/10/13;00:00:00;10024.0000000;10024.0000000;10024.0000000;10024.0000000;2
SPFB.OFZ2;D;15/10/13;00:00:00;10025.0000000;10025.0000000;10017.0000000;10017.0000000;2
SPFB.OFZ2;D;16/10/13;00:00:00;10020.0000000;10020.0000000;10020.0000000;10020.0000000;3000
SPFB.OFZ2;D;17/10/13;00:00:00;10025.0000000;10025.0000000;10025.0000000;10025.0000000;177
SPFB.OFZ2;D;18/10/13;00:00:00;10030.0000000;10035.0000000;10030.0000000;10035.0000000;12800
SPFB.OFZ2;D;22/10/13;00:00:00;10036.0000000;10036.0000000;10035.0000000;10035.0000000;30125
SPFB.OFZ2;D;23/10/13;00:00:00;10039.0000000;10043.0000000;10039.0000000;10042.0000000;2600
SPFB.OFZ2;D;24/10/13;00:00:00;10043.0000000;10043.0000000;10043.0000000;10043.0000000;1
SPFB.OFZ2;D;25/10/13;00:00:00;10039.0000000;10039.0000000;10037.0000000;10037.0000000;2500
SPFB.OFZ2;D;28/10/13;00:00:00;10040.0000000;10040.0000000;10020.0000000;10020.0000000;127
SPFB.OFZ2;D;30/10/13;00:00:00;10040.0000000;10040.0000000;10040.0000000;10040.0000000;2
SPFB.OFZ2;D;31/10/13;00:00:00;10036.0000000;10039.0000000;10036.0000000;10038.0000000;276
SPFB.OFZ2;D;01/11/13;00:00:00;10039.0000000;10039.0000000;10038.0000000;10038.0000000;130
SPFB.OFZ2;D;05/11/13;00:00:00;10042.0000000;10042.0000000;10042.0000000;10042.0000000;2501
SPFB.OFZ2;D;06/11/13;00:00:00;10037.0000000;10037.0000000;10033.0000000;10033.0000000;7501
SPFB.OFZ2;D;07/11/13;00:00:00;10028.0000000;10028.0000000;10028.0000000;10028.0000000;10
SPFB.OFZ2;D;08/11/13;00:00:00;10029.0000000;10030.0000000;10029.0000000;10029.0000000;510
SPFB.OFZ2;D;11/11/13;00:00:00;10022.0000000;10022.0000000;10017.0000000;10017.0000000;160
SPFB.OFZ2;D;12/11/13;00:00:00;10015.0000000;10017.0000000;10005.0000000;10005.0000000;28100
SPFB.OFZ2;D;13/11/13;00:00:00;10014.0000000;10017.0000000;10014.0000000;10016.0000000;425
SPFB.OFZ2;D;14/11/13;00:00:00;10020.0000000;10020.0000000;10015.0000000;10015.0000000;10020
SPFB.OFZ2;D;15/11/13;00:00:00;10014.0000000;10014.0000000;10014.0000000;10014.0000000;60
SPFB.OFZ2;D;19/11/13;00:00:00;10018.0000000;10018.0000000;10018.0000000;10018.0000000;1
SPFB.OFZ2;D;20/11/13;00:00:00;10016.0000000;10016.0000000;10016.0000000;10016.0000000;72
