<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.OF15;D;02/09/13;00:00:00;10699.0000000;10750.0000000;10699.0000000;10750.0000000;11356
SPFB.OF15;D;03/09/13;00:00:00;10670.0000000;10710.0000000;10670.0000000;10690.0000000;17299
SPFB.OF15;D;04/09/13;00:00:00;10695.0000000;10695.0000000;10650.0000000;10695.0000000;6204
SPFB.OF15;D;09/09/13;00:00:00;10920.0000000;10960.0000000;10920.0000000;10955.0000000;5185
SPFB.OF15;D;10/09/13;00:00:00;10960.0000000;10990.0000000;10960.0000000;10990.0000000;22510
SPFB.OF15;D;11/09/13;00:00:00;10985.0000000;11170.0000000;10985.0000000;11170.0000000;54375
SPFB.OF15;D;12/09/13;00:00:00;11170.0000000;11230.0000000;11170.0000000;11195.0000000;12781
SPFB.OF15;D;13/09/13;00:00:00;11235.0000000;11251.0000000;11210.0000000;11251.0000000;39050
SPFB.OF15;D;16/09/13;00:00:00;11315.0000000;11320.0000000;11260.0000000;11260.0000000;45709
SPFB.OF15;D;17/09/13;00:00:00;11230.0000000;11230.0000000;11165.0000000;11165.0000000;26880
SPFB.OF15;D;18/09/13;00:00:00;11164.0000000;11230.0000000;11130.0000000;11230.0000000;29167
SPFB.OF15;D;19/09/13;00:00:00;11298.0000000;11390.0000000;11298.0000000;11340.0000000;66274
SPFB.OF15;D;20/09/13;00:00:00;11325.0000000;11325.0000000;11295.0000000;11295.0000000;15533
SPFB.OF15;D;23/09/13;00:00:00;11359.0000000;11359.0000000;11255.0000000;11255.0000000;20019
SPFB.OF15;D;24/09/13;00:00:00;11305.0000000;11323.0000000;11250.0000000;11250.0000000;923
SPFB.OF15;D;25/09/13;00:00:00;11245.0000000;11245.0000000;11220.0000000;11230.0000000;22800
SPFB.OF15;D;26/09/13;00:00:00;11234.0000000;11239.0000000;11220.0000000;11220.0000000;7538
SPFB.OF15;D;27/09/13;00:00:00;11235.0000000;11235.0000000;11190.0000000;11210.0000000;7662
SPFB.OF15;D;30/09/13;00:00:00;11155.0000000;11165.0000000;11145.0000000;11165.0000000;5300
SPFB.OF15;D;01/10/13;00:00:00;11161.0000000;11163.0000000;11161.0000000;11163.0000000;7500
SPFB.OF15;D;02/10/13;00:00:00;11180.0000000;11220.0000000;11180.0000000;11220.0000000;10695
SPFB.OF15;D;03/10/13;00:00:00;11240.0000000;11240.0000000;11240.0000000;11240.0000000;2500
SPFB.OF15;D;04/10/13;00:00:00;11225.0000000;11225.0000000;11225.0000000;11225.0000000;5000
SPFB.OF15;D;07/10/13;00:00:00;11230.0000000;11230.0000000;11210.0000000;11210.0000000;10000
SPFB.OF15;D;08/10/13;00:00:00;11170.0000000;11185.0000000;11170.0000000;11185.0000000;10050
SPFB.OF15;D;09/10/13;00:00:00;11175.0000000;11220.0000000;11175.0000000;11185.0000000;9000
SPFB.OF15;D;10/10/13;00:00:00;11165.0000000;11165.0000000;11130.0000000;11155.0000000;29575
SPFB.OF15;D;11/10/13;00:00:00;11145.0000000;11160.0000000;11145.0000000;11160.0000000;5015
SPFB.OF15;D;14/10/13;00:00:00;11170.0000000;11170.0000000;11162.0000000;11162.0000000;10545
SPFB.OF15;D;15/10/13;00:00:00;11125.0000000;11175.0000000;11105.0000000;11105.0000000;35003
SPFB.OF15;D;16/10/13;00:00:00;11140.0000000;11195.0000000;11140.0000000;11190.0000000;20003
SPFB.OF15;D;17/10/13;00:00:00;11205.0000000;11234.0000000;11200.0000000;11228.0000000;11693
SPFB.OF15;D;18/10/13;00:00:00;11242.0000000;11280.0000000;11242.0000000;11275.0000000;16437
SPFB.OF15;D;21/10/13;00:00:00;11255.0000000;11255.0000000;11240.0000000;11240.0000000;6352
SPFB.OF15;D;22/10/13;00:00:00;11235.0000000;11321.0000000;11235.0000000;11320.0000000;81104
SPFB.OF15;D;23/10/13;00:00:00;11315.0000000;11369.0000000;11301.0000000;11302.0000000;30447
SPFB.OF15;D;24/10/13;00:00:00;11204.0000000;11323.0000000;11203.0000000;11298.0000000;291
SPFB.OF15;D;25/10/13;00:00:00;11299.0000000;11299.0000000;11262.0000000;11262.0000000;5500
SPFB.OF15;D;28/10/13;00:00:00;11291.0000000;11306.0000000;11291.0000000;11306.0000000;2880
SPFB.OF15;D;29/10/13;00:00:00;11297.0000000;11297.0000000;11290.0000000;11290.0000000;40
SPFB.OF15;D;30/10/13;00:00:00;11335.0000000;11349.0000000;11300.0000000;11300.0000000;15958
SPFB.OF15;D;31/10/13;00:00:00;11300.0000000;11363.0000000;11270.0000000;11318.0000000;33206
SPFB.OF15;D;01/11/13;00:00:00;11320.0000000;11320.0000000;11250.0000000;11250.0000000;20680
SPFB.OF15;D;05/11/13;00:00:00;11274.0000000;11284.0000000;11274.0000000;11275.0000000;10346
SPFB.OF15;D;06/11/13;00:00:00;11241.0000000;11248.0000000;11230.0000000;11247.0000000;2171
SPFB.OF15;D;07/11/13;00:00:00;11245.0000000;11305.0000000;11245.0000000;11265.0000000;53170
SPFB.OF15;D;08/11/13;00:00:00;11220.0000000;11250.0000000;11150.0000000;11150.0000000;24545
SPFB.OF15;D;11/11/13;00:00:00;11161.0000000;11161.0000000;11107.0000000;11113.0000000;15291
SPFB.OF15;D;12/11/13;00:00:00;11095.0000000;11119.0000000;11068.0000000;11079.0000000;21768
SPFB.OF15;D;13/11/13;00:00:00;11091.0000000;11118.0000000;11061.0000000;11080.0000000;31538
SPFB.OF15;D;14/11/13;00:00:00;11100.0000000;11128.0000000;11100.0000000;11109.0000000;21075
SPFB.OF15;D;15/11/13;00:00:00;11132.0000000;11135.0000000;11102.0000000;11130.0000000;33378
SPFB.OF15;D;18/11/13;00:00:00;11122.0000000;11125.0000000;11060.0000000;11095.0000000;12521
SPFB.OF15;D;19/11/13;00:00:00;11120.0000000;11120.0000000;11089.0000000;11089.0000000;7750
SPFB.OF15;D;20/11/13;00:00:00;11080.0000000;11080.0000000;11064.0000000;11064.0000000;7876
SPFB.OF15;D;21/11/13;00:00:00;11055.0000000;11055.0000000;11020.0000000;11020.0000000;25534
SPFB.OF15;D;22/11/13;00:00:00;11065.0000000;11070.0000000;11060.0000000;11060.0000000;12627
SPFB.OF15;D;25/11/13;00:00:00;11073.0000000;11073.0000000;11019.0000000;11019.0000000;15550
SPFB.OF15;D;26/11/13;00:00:00;11015.0000000;11020.0000000;10995.0000000;11008.0000000;18319
SPFB.OF15;D;27/11/13;00:00:00;11005.0000000;11080.0000000;10945.0000000;11080.0000000;20358
SPFB.OF15;D;28/11/13;00:00:00;11080.0000000;11080.0000000;10800.0000000;10800.0000000;56908
SPFB.OF15;D;29/11/13;00:00:00;10825.0000000;10902.0000000;10825.0000000;10876.0000000;20930
SPFB.OF15;D;02/12/13;00:00:00;10870.0000000;10870.0000000;10831.0000000;10850.0000000;29986
SPFB.OF15;D;03/12/13;00:00:00;10815.0000000;10875.0000000;10790.0000000;10875.0000000;65121
SPFB.OF15;D;04/12/13;00:00:00;10880.0000000;10925.0000000;10860.0000000;10875.0000000;10347
SPFB.OF15;D;05/12/13;00:00:00;10820.0000000;10827.0000000;10810.0000000;10827.0000000;9001
SPFB.OF15;D;06/12/13;00:00:00;10830.0000000;10875.0000000;10830.0000000;10870.0000000;36550
SPFB.OF15;D;09/12/13;00:00:00;10875.0000000;10964.0000000;10872.0000000;10959.0000000;44255
SPFB.OF15;D;10/12/13;00:00:00;10930.0000000;10960.0000000;10930.0000000;10946.0000000;5275
SPFB.OF15;D;11/12/13;00:00:00;10965.0000000;10985.0000000;10965.0000000;10966.0000000;8150
SPFB.OF15;D;12/12/13;00:00:00;10905.0000000;10914.0000000;10903.0000000;10905.0000000;10540
SPFB.OF15;D;13/12/13;00:00:00;10877.0000000;10919.0000000;10877.0000000;10910.0000000;24035
SPFB.OF15;D;16/12/13;00:00:00;10909.0000000;10909.0000000;10897.0000000;10897.0000000;405
SPFB.OF15;D;17/12/13;00:00:00;10910.0000000;10910.0000000;10901.0000000;10906.0000000;3125
SPFB.OF15;D;18/12/13;00:00:00;10965.0000000;10965.0000000;10915.0000000;10917.0000000;32470
SPFB.OF15;D;19/12/13;00:00:00;10994.0000000;10994.0000000;10715.0000000;10975.0000000;17225
SPFB.OF15;D;20/12/13;00:00:00;10904.0000000;10944.0000000;10904.0000000;10937.0000000;23186
SPFB.OF15;D;23/12/13;00:00:00;10905.0000000;10980.0000000;10755.0000000;10980.0000000;9913
SPFB.OF15;D;24/12/13;00:00:00;10955.0000000;10958.0000000;10940.0000000;10940.0000000;1372
SPFB.OF15;D;25/12/13;00:00:00;10994.0000000;10994.0000000;10931.0000000;10934.0000000;6225
SPFB.OF15;D;26/12/13;00:00:00;10927.0000000;10935.0000000;10924.0000000;10935.0000000;40253
SPFB.OF15;D;27/12/13;00:00:00;10935.0000000;10945.0000000;10910.0000000;10930.0000000;26579
SPFB.OF15;D;30/12/13;00:00:00;10925.0000000;10945.0000000;10925.0000000;10935.0000000;5527
SPFB.OF15;D;09/01/14;00:00:00;10900.0000000;10900.0000000;10900.0000000;10900.0000000;25
SPFB.OF15;D;10/01/14;00:00:00;10890.0000000;10890.0000000;10890.0000000;10890.0000000;219
SPFB.OF15;D;13/01/14;00:00:00;10919.0000000;10919.0000000;10893.0000000;10893.0000000;3955
SPFB.OF15;D;14/01/14;00:00:00;10878.0000000;10880.0000000;10851.0000000;10880.0000000;1469
SPFB.OF15;D;15/01/14;00:00:00;10879.0000000;10880.0000000;10846.0000000;10851.0000000;975
SPFB.OF15;D;16/01/14;00:00:00;10925.0000000;10925.0000000;10820.0000000;10843.0000000;1066
SPFB.OF15;D;17/01/14;00:00:00;10830.0000000;10846.0000000;10809.0000000;10821.0000000;6814
SPFB.OF15;D;20/01/14;00:00:00;10805.0000000;10805.0000000;10780.0000000;10786.0000000;175
SPFB.OF15;D;21/01/14;00:00:00;10811.0000000;10811.0000000;10785.0000000;10797.0000000;13000
SPFB.OF15;D;22/01/14;00:00:00;10790.0000000;10808.0000000;10790.0000000;10808.0000000;7000
SPFB.OF15;D;23/01/14;00:00:00;10764.0000000;10789.0000000;10750.0000000;10750.0000000;8811
SPFB.OF15;D;24/01/14;00:00:00;10781.0000000;10783.0000000;10651.0000000;10689.0000000;18731
SPFB.OF15;D;27/01/14;00:00:00;10680.0000000;10869.0000000;10368.0000000;10368.0000000;19910
SPFB.OF15;D;28/01/14;00:00:00;10670.0000000;10675.0000000;10430.0000000;10660.0000000;36681
SPFB.OF15;D;29/01/14;00:00:00;10670.0000000;10670.0000000;10535.0000000;10535.0000000;14857
SPFB.OF15;D;30/01/14;00:00:00;10496.0000000;10499.0000000;10345.0000000;10499.0000000;6240
SPFB.OF15;D;31/01/14;00:00:00;10487.0000000;10581.0000000;10487.0000000;10511.0000000;7451
SPFB.OF15;D;03/02/14;00:00:00;10528.0000000;10613.0000000;10528.0000000;10609.0000000;3813
SPFB.OF15;D;04/02/14;00:00:00;10545.0000000;10710.0000000;10545.0000000;10706.0000000;72275
SPFB.OF15;D;05/02/14;00:00:00;10706.0000000;10790.0000000;10700.0000000;10726.0000000;16989
SPFB.OF15;D;06/02/14;00:00:00;10740.0000000;10785.0000000;10731.0000000;10731.0000000;12840
SPFB.OF15;D;07/02/14;00:00:00;10755.0000000;10755.0000000;10730.0000000;10750.0000000;10360
