<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;22/10/21;07:01:00;83597.0000000;83653.0000000;83578.0000000;83650.0000000;50
SPFB.Eu;1;22/10/21;07:02:00;83640.0000000;83649.0000000;83601.0000000;83609.0000000;182
SPFB.Eu;1;22/10/21;07:03:00;83610.0000000;83617.0000000;83565.0000000;83565.0000000;138
SPFB.Eu;1;22/10/21;07:04:00;83565.0000000;83565.0000000;83521.0000000;83548.0000000;193
SPFB.Eu;1;22/10/21;07:05:00;83544.0000000;83567.0000000;83544.0000000;83567.0000000;43
SPFB.Eu;1;22/10/21;07:06:00;83565.0000000;83573.0000000;83539.0000000;83566.0000000;108
SPFB.Eu;1;22/10/21;07:07:00;83575.0000000;83580.0000000;83558.0000000;83558.0000000;18
SPFB.Eu;1;22/10/21;07:08:00;83562.0000000;83582.0000000;83562.0000000;83582.0000000;50
SPFB.Eu;1;22/10/21;07:09:00;83581.0000000;83581.0000000;83581.0000000;83581.0000000;3
SPFB.Eu;1;22/10/21;07:10:00;83579.0000000;83579.0000000;83560.0000000;83560.0000000;6
SPFB.Eu;1;22/10/21;07:11:00;83560.0000000;83560.0000000;83551.0000000;83556.0000000;77
SPFB.Eu;1;22/10/21;07:12:00;83556.0000000;83560.0000000;83556.0000000;83560.0000000;69
SPFB.Eu;1;22/10/21;07:13:00;83568.0000000;83568.0000000;83561.0000000;83561.0000000;28
SPFB.Eu;1;22/10/21;07:15:00;83561.0000000;83571.0000000;83560.0000000;83560.0000000;77
SPFB.Eu;1;22/10/21;07:16:00;83569.0000000;83572.0000000;83560.0000000;83572.0000000;61
SPFB.Eu;1;22/10/21;07:17:00;83575.0000000;83577.0000000;83566.0000000;83566.0000000;308
SPFB.Eu;1;22/10/21;07:18:00;83581.0000000;83599.0000000;83581.0000000;83599.0000000;61
SPFB.Eu;1;22/10/21;07:19:00;83590.0000000;83593.0000000;83587.0000000;83593.0000000;13
SPFB.Eu;1;22/10/21;07:20:00;83593.0000000;83593.0000000;83585.0000000;83590.0000000;14
SPFB.Eu;1;22/10/21;07:21:00;83590.0000000;83590.0000000;83589.0000000;83590.0000000;27
SPFB.Eu;1;22/10/21;07:23:00;83590.0000000;83590.0000000;83583.0000000;83583.0000000;54
SPFB.Eu;1;22/10/21;07:24:00;83583.0000000;83583.0000000;83556.0000000;83556.0000000;31
SPFB.Eu;1;22/10/21;07:25:00;83563.0000000;83563.0000000;83555.0000000;83555.0000000;5
SPFB.Eu;1;22/10/21;07:26:00;83565.0000000;83565.0000000;83547.0000000;83547.0000000;38
SPFB.Eu;1;22/10/21;07:27:00;83548.0000000;83548.0000000;83548.0000000;83548.0000000;2
SPFB.Eu;1;22/10/21;07:28:00;83550.0000000;83550.0000000;83550.0000000;83550.0000000;1
SPFB.Eu;1;22/10/21;07:29:00;83547.0000000;83547.0000000;83547.0000000;83547.0000000;2
SPFB.Eu;1;22/10/21;07:30:00;83563.0000000;83563.0000000;83554.0000000;83554.0000000;12
SPFB.Eu;1;22/10/21;07:31:00;83554.0000000;83555.0000000;83543.0000000;83555.0000000;255
SPFB.Eu;1;22/10/21;07:32:00;83551.0000000;83551.0000000;83550.0000000;83550.0000000;20
SPFB.Eu;1;22/10/21;07:34:00;83550.0000000;83560.0000000;83550.0000000;83560.0000000;12
SPFB.Eu;1;22/10/21;07:36:00;83564.0000000;83564.0000000;83564.0000000;83564.0000000;200
SPFB.Eu;1;22/10/21;07:37:00;83556.0000000;83557.0000000;83555.0000000;83557.0000000;7
SPFB.Eu;1;22/10/21;07:38:00;83543.0000000;83543.0000000;83543.0000000;83543.0000000;1
SPFB.Eu;1;22/10/21;07:39:00;83543.0000000;83562.0000000;83542.0000000;83562.0000000;42
SPFB.Eu;1;22/10/21;07:40:00;83547.0000000;83547.0000000;83547.0000000;83547.0000000;1
SPFB.Eu;1;22/10/21;07:41:00;83562.0000000;83562.0000000;83550.0000000;83550.0000000;6
SPFB.Eu;1;22/10/21;07:42:00;83563.0000000;83563.0000000;83563.0000000;83563.0000000;1
