<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;29/04/16;10:01:00;74463.0000000;74463.0000000;74279.0000000;74390.0000000;202
SPFB.Eu;1;29/04/16;10:02:00;74402.0000000;74504.0000000;74394.0000000;74476.0000000;381
SPFB.Eu;1;29/04/16;10:03:00;74461.0000000;74488.0000000;74440.0000000;74458.0000000;223
SPFB.Eu;1;29/04/16;10:04:00;74457.0000000;74507.0000000;74446.0000000;74500.0000000;187
SPFB.Eu;1;29/04/16;10:05:00;74499.0000000;74527.0000000;74450.0000000;74452.0000000;284
SPFB.Eu;1;29/04/16;10:06:00;74471.0000000;74483.0000000;74398.0000000;74400.0000000;275
SPFB.Eu;1;29/04/16;10:07:00;74398.0000000;74414.0000000;74352.0000000;74365.0000000;519
SPFB.Eu;1;29/04/16;10:08:00;74364.0000000;74411.0000000;74344.0000000;74367.0000000;344
SPFB.Eu;1;29/04/16;10:09:00;74375.0000000;74426.0000000;74375.0000000;74420.0000000;344
SPFB.Eu;1;29/04/16;10:10:00;74416.0000000;74460.0000000;74410.0000000;74422.0000000;475
SPFB.Eu;1;29/04/16;10:11:00;74426.0000000;74447.0000000;74415.0000000;74430.0000000;364
SPFB.Eu;1;29/04/16;10:12:00;74408.0000000;74426.0000000;74382.0000000;74412.0000000;201
SPFB.Eu;1;29/04/16;10:13:00;74405.0000000;74448.0000000;74403.0000000;74405.0000000;161
SPFB.Eu;1;29/04/16;10:14:00;74396.0000000;74444.0000000;74396.0000000;74423.0000000;149
SPFB.Eu;1;29/04/16;10:15:00;74424.0000000;74448.0000000;74394.0000000;74394.0000000;2224
SPFB.Eu;1;29/04/16;10:16:00;74412.0000000;74447.0000000;74398.0000000;74398.0000000;511
SPFB.Eu;1;29/04/16;10:17:00;74404.0000000;74437.0000000;74404.0000000;74407.0000000;221
SPFB.Eu;1;29/04/16;10:18:00;74408.0000000;74414.0000000;74395.0000000;74401.0000000;51
SPFB.Eu;1;29/04/16;10:19:00;74407.0000000;74423.0000000;74392.0000000;74392.0000000;101
SPFB.Eu;1;29/04/16;10:20:00;74397.0000000;74418.0000000;74391.0000000;74403.0000000;207
SPFB.Eu;1;29/04/16;10:21:00;74391.0000000;74406.0000000;74376.0000000;74393.0000000;294
SPFB.Eu;1;29/04/16;10:22:00;74383.0000000;74403.0000000;74382.0000000;74387.0000000;121
SPFB.Eu;1;29/04/16;10:23:00;74384.0000000;74397.0000000;74365.0000000;74365.0000000;96
SPFB.Eu;1;29/04/16;10:24:00;74367.0000000;74367.0000000;74321.0000000;74339.0000000;140
