<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;26/04/19;10:01:00;72922.0000000;72960.0000000;72913.0000000;72960.0000000;94
SPFB.Eu;1;26/04/19;10:02:00;72963.0000000;73007.0000000;72948.0000000;73002.0000000;180
SPFB.Eu;1;26/04/19;10:03:00;73007.0000000;73032.0000000;72986.0000000;73004.0000000;483
SPFB.Eu;1;26/04/19;10:04:00;72998.0000000;73009.0000000;72983.0000000;73003.0000000;76
SPFB.Eu;1;26/04/19;10:05:00;73002.0000000;73009.0000000;72998.0000000;73005.0000000;31
SPFB.Eu;1;26/04/19;10:06:00;73006.0000000;73006.0000000;72993.0000000;72995.0000000;52
SPFB.Eu;1;26/04/19;10:07:00;73002.0000000;73008.0000000;73000.0000000;73000.0000000;16
SPFB.Eu;1;26/04/19;10:08:00;73003.0000000;73004.0000000;72995.0000000;72995.0000000;108
SPFB.Eu;1;26/04/19;10:09:00;72992.0000000;73000.0000000;72983.0000000;72992.0000000;184
SPFB.Eu;1;26/04/19;10:10:00;72990.0000000;72998.0000000;72943.0000000;72945.0000000;72
SPFB.Eu;1;26/04/19;10:11:00;72939.0000000;72959.0000000;72923.0000000;72959.0000000;643
SPFB.Eu;1;26/04/19;10:12:00;72953.0000000;72970.0000000;72951.0000000;72970.0000000;224
SPFB.Eu;1;26/04/19;10:13:00;72962.0000000;72962.0000000;72940.0000000;72940.0000000;20
SPFB.Eu;1;26/04/19;10:14:00;72945.0000000;72957.0000000;72940.0000000;72957.0000000;53
SPFB.Eu;1;26/04/19;10:15:00;72953.0000000;72959.0000000;72944.0000000;72949.0000000;60
SPFB.Eu;1;26/04/19;10:16:00;72960.0000000;72972.0000000;72952.0000000;72972.0000000;148
SPFB.Eu;1;26/04/19;10:17:00;72972.0000000;72972.0000000;72960.0000000;72972.0000000;174
SPFB.Eu;1;26/04/19;10:18:00;72973.0000000;72973.0000000;72957.0000000;72957.0000000;67
SPFB.Eu;1;26/04/19;10:19:00;72959.0000000;72969.0000000;72957.0000000;72958.0000000;175
SPFB.Eu;1;26/04/19;10:20:00;72952.0000000;72952.0000000;72941.0000000;72944.0000000;48
SPFB.Eu;1;26/04/19;10:21:00;72938.0000000;72944.0000000;72932.0000000;72944.0000000;82
SPFB.Eu;1;26/04/19;10:22:00;72955.0000000;72959.0000000;72951.0000000;72954.0000000;39
SPFB.Eu;1;26/04/19;10:23:00;72955.0000000;72955.0000000;72947.0000000;72949.0000000;33
SPFB.Eu;1;26/04/19;10:24:00;72947.0000000;72950.0000000;72937.0000000;72941.0000000;160
SPFB.Eu;1;26/04/19;10:25:00;72944.0000000;72947.0000000;72939.0000000;72946.0000000;136
SPFB.Eu;1;26/04/19;10:26:00;72948.0000000;72959.0000000;72948.0000000;72959.0000000;46
SPFB.Eu;1;26/04/19;10:27:00;72968.0000000;72974.0000000;72966.0000000;72971.0000000;40
SPFB.Eu;1;26/04/19;10:28:00;72976.0000000;72978.0000000;72973.0000000;72978.0000000;30
SPFB.Eu;1;26/04/19;10:29:00;72982.0000000;72990.0000000;72975.0000000;72975.0000000;68
SPFB.Eu;1;26/04/19;10:30:00;72973.0000000;72980.0000000;72966.0000000;72969.0000000;113
SPFB.Eu;1;26/04/19;10:31:00;72974.0000000;72980.0000000;72965.0000000;72976.0000000;67
SPFB.Eu;1;26/04/19;10:32:00;72971.0000000;72981.0000000;72970.0000000;72975.0000000;15
SPFB.Eu;1;26/04/19;10:33:00;72975.0000000;72975.0000000;72975.0000000;72975.0000000;1
SPFB.Eu;1;26/04/19;10:34:00;72974.0000000;72974.0000000;72973.0000000;72973.0000000;3
SPFB.Eu;1;26/04/19;10:35:00;72978.0000000;72990.0000000;72975.0000000;72990.0000000;230
SPFB.Eu;1;26/04/19;10:36:00;72996.0000000;72996.0000000;72987.0000000;72987.0000000;16
SPFB.Eu;1;26/04/19;10:37:00;72981.0000000;72990.0000000;72979.0000000;72990.0000000;52
SPFB.Eu;1;26/04/19;10:38:00;72992.0000000;73000.0000000;72989.0000000;73000.0000000;56
SPFB.Eu;1;26/04/19;10:39:00;73005.0000000;73006.0000000;72993.0000000;72993.0000000;24
SPFB.Eu;1;26/04/19;10:40:00;72985.0000000;72985.0000000;72985.0000000;72985.0000000;2
SPFB.Eu;1;26/04/19;10:41:00;72975.0000000;72975.0000000;72960.0000000;72960.0000000;23
SPFB.Eu;1;26/04/19;10:42:00;72961.0000000;72972.0000000;72961.0000000;72972.0000000;38
SPFB.Eu;1;26/04/19;10:43:00;72968.0000000;72976.0000000;72968.0000000;72976.0000000;14
SPFB.Eu;1;26/04/19;10:44:00;72975.0000000;72977.0000000;72968.0000000;72977.0000000;40
SPFB.Eu;1;26/04/19;10:45:00;72970.0000000;72976.0000000;72962.0000000;72976.0000000;229
SPFB.Eu;1;26/04/19;10:46:00;72978.0000000;72978.0000000;72960.0000000;72963.0000000;62
SPFB.Eu;1;26/04/19;10:47:00;72959.0000000;72966.0000000;72951.0000000;72966.0000000;302
SPFB.Eu;1;26/04/19;10:48:00;72968.0000000;72969.0000000;72961.0000000;72963.0000000;70
SPFB.Eu;1;26/04/19;10:49:00;72961.0000000;72966.0000000;72959.0000000;72966.0000000;16
SPFB.Eu;1;26/04/19;10:50:00;72967.0000000;72974.0000000;72967.0000000;72969.0000000;22
SPFB.Eu;1;26/04/19;10:51:00;72964.0000000;72965.0000000;72958.0000000;72965.0000000;73
SPFB.Eu;1;26/04/19;10:52:00;72967.0000000;72967.0000000;72961.0000000;72961.0000000;117
SPFB.Eu;1;26/04/19;10:54:00;72969.0000000;72973.0000000;72960.0000000;72960.0000000;77
SPFB.Eu;1;26/04/19;10:55:00;72961.0000000;72961.0000000;72942.0000000;72942.0000000;293
SPFB.Eu;1;26/04/19;10:56:00;72942.0000000;72954.0000000;72937.0000000;72949.0000000;212
SPFB.Eu;1;26/04/19;10:57:00;72951.0000000;72958.0000000;72949.0000000;72949.0000000;42
SPFB.Eu;1;26/04/19;10:58:00;72947.0000000;72947.0000000;72938.0000000;72938.0000000;20
SPFB.Eu;1;26/04/19;10:59:00;72934.0000000;72943.0000000;72925.0000000;72943.0000000;86
SPFB.Eu;1;26/04/19;11:00:00;72941.0000000;72944.0000000;72937.0000000;72944.0000000;26
SPFB.Eu;1;26/04/19;11:01:00;72933.0000000;72933.0000000;72914.0000000;72919.0000000;256
SPFB.Eu;1;26/04/19;11:02:00;72920.0000000;72930.0000000;72917.0000000;72930.0000000;499
SPFB.Eu;1;26/04/19;11:03:00;72923.0000000;72928.0000000;72923.0000000;72927.0000000;28
SPFB.Eu;1;26/04/19;11:04:00;72926.0000000;72929.0000000;72917.0000000;72920.0000000;30
