<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;08/02/19;10:01:00;75549.0000000;75638.0000000;75549.0000000;75563.0000000;298
SPFB.Eu;1;08/02/19;10:02:00;75557.0000000;75576.0000000;75553.0000000;75560.0000000;39
SPFB.Eu;1;08/02/19;10:03:00;75553.0000000;75572.0000000;75552.0000000;75571.0000000;55
SPFB.Eu;1;08/02/19;10:04:00;75572.0000000;75572.0000000;75537.0000000;75560.0000000;35
SPFB.Eu;1;08/02/19;10:05:00;75558.0000000;75565.0000000;75552.0000000;75558.0000000;32
SPFB.Eu;1;08/02/19;10:06:00;75547.0000000;75585.0000000;75547.0000000;75585.0000000;43
SPFB.Eu;1;08/02/19;10:07:00;75580.0000000;75590.0000000;75574.0000000;75578.0000000;273
SPFB.Eu;1;08/02/19;10:08:00;75577.0000000;75580.0000000;75564.0000000;75564.0000000;98
SPFB.Eu;1;08/02/19;10:09:00;75567.0000000;75589.0000000;75567.0000000;75589.0000000;82
SPFB.Eu;1;08/02/19;10:10:00;75591.0000000;75594.0000000;75577.0000000;75577.0000000;15
SPFB.Eu;1;08/02/19;10:11:00;75575.0000000;75587.0000000;75572.0000000;75581.0000000;71
SPFB.Eu;1;08/02/19;10:12:00;75576.0000000;75583.0000000;75568.0000000;75568.0000000;7
SPFB.Eu;1;08/02/19;10:13:00;75560.0000000;75560.0000000;75558.0000000;75558.0000000;2
SPFB.Eu;1;08/02/19;10:14:00;75563.0000000;75570.0000000;75561.0000000;75563.0000000;61
SPFB.Eu;1;08/02/19;10:15:00;75570.0000000;75572.0000000;75562.0000000;75562.0000000;42
SPFB.Eu;1;08/02/19;10:16:00;75552.0000000;75558.0000000;75552.0000000;75554.0000000;25
SPFB.Eu;1;08/02/19;10:17:00;75550.0000000;75554.0000000;75546.0000000;75552.0000000;42
SPFB.Eu;1;08/02/19;10:18:00;75557.0000000;75558.0000000;75549.0000000;75549.0000000;34
SPFB.Eu;1;08/02/19;10:19:00;75548.0000000;75558.0000000;75542.0000000;75558.0000000;42
SPFB.Eu;1;08/02/19;10:20:00;75549.0000000;75560.0000000;75549.0000000;75556.0000000;13
SPFB.Eu;1;08/02/19;10:21:00;75553.0000000;75558.0000000;75549.0000000;75551.0000000;53
SPFB.Eu;1;08/02/19;10:22:00;75558.0000000;75558.0000000;75547.0000000;75547.0000000;28
SPFB.Eu;1;08/02/19;10:23:00;75557.0000000;75560.0000000;75551.0000000;75551.0000000;13
SPFB.Eu;1;08/02/19;10:24:00;75560.0000000;75571.0000000;75560.0000000;75570.0000000;81
SPFB.Eu;1;08/02/19;10:26:00;75569.0000000;75569.0000000;75556.0000000;75556.0000000;9
SPFB.Eu;1;08/02/19;10:28:00;75558.0000000;75563.0000000;75557.0000000;75562.0000000;12
SPFB.Eu;1;08/02/19;10:29:00;75565.0000000;75572.0000000;75560.0000000;75560.0000000;31
SPFB.Eu;1;08/02/19;10:30:00;75558.0000000;75559.0000000;75550.0000000;75559.0000000;50
SPFB.Eu;1;08/02/19;10:31:00;75561.0000000;75569.0000000;75561.0000000;75567.0000000;10
SPFB.Eu;1;08/02/19;10:32:00;75569.0000000;75573.0000000;75564.0000000;75564.0000000;18
SPFB.Eu;1;08/02/19;10:33:00;75572.0000000;75580.0000000;75572.0000000;75579.0000000;39
SPFB.Eu;1;08/02/19;10:34:00;75569.0000000;75569.0000000;75569.0000000;75569.0000000;1
SPFB.Eu;1;08/02/19;10:35:00;75566.0000000;75569.0000000;75561.0000000;75569.0000000;11
SPFB.Eu;1;08/02/19;10:36:00;75557.0000000;75558.0000000;75546.0000000;75553.0000000;13
SPFB.Eu;1;08/02/19;10:37:00;75547.0000000;75547.0000000;75526.0000000;75526.0000000;28
SPFB.Eu;1;08/02/19;10:38:00;75527.0000000;75540.0000000;75521.0000000;75540.0000000;163
SPFB.Eu;1;08/02/19;10:39:00;75539.0000000;75542.0000000;75532.0000000;75532.0000000;14
SPFB.Eu;1;08/02/19;10:40:00;75533.0000000;75535.0000000;75533.0000000;75535.0000000;8
SPFB.Eu;1;08/02/19;10:41:00;75528.0000000;75548.0000000;75526.0000000;75548.0000000;122
SPFB.Eu;1;08/02/19;10:42:00;75548.0000000;75548.0000000;75540.0000000;75545.0000000;5
SPFB.Eu;1;08/02/19;10:43:00;75545.0000000;75545.0000000;75539.0000000;75539.0000000;2
SPFB.Eu;1;08/02/19;10:44:00;75537.0000000;75540.0000000;75529.0000000;75529.0000000;45
SPFB.Eu;1;08/02/19;10:45:00;75533.0000000;75536.0000000;75517.0000000;75523.0000000;44
SPFB.Eu;1;08/02/19;10:46:00;75521.0000000;75521.0000000;75501.0000000;75501.0000000;45
SPFB.Eu;1;08/02/19;10:47:00;75503.0000000;75503.0000000;75486.0000000;75496.0000000;33
SPFB.Eu;1;08/02/19;10:48:00;75502.0000000;75514.0000000;75502.0000000;75513.0000000;33
SPFB.Eu;1;08/02/19;10:49:00;75510.0000000;75513.0000000;75505.0000000;75508.0000000;14
SPFB.Eu;1;08/02/19;10:50:00;75490.0000000;75500.0000000;75490.0000000;75490.0000000;5
SPFB.Eu;1;08/02/19;10:51:00;75493.0000000;75499.0000000;75492.0000000;75497.0000000;13
SPFB.Eu;1;08/02/19;10:52:00;75500.0000000;75506.0000000;75500.0000000;75506.0000000;6
SPFB.Eu;1;08/02/19;10:53:00;75504.0000000;75520.0000000;75504.0000000;75520.0000000;3
SPFB.Eu;1;08/02/19;10:54:00;75514.0000000;75518.0000000;75509.0000000;75509.0000000;37
SPFB.Eu;1;08/02/19;10:55:00;75512.0000000;75516.0000000;75499.0000000;75499.0000000;73
SPFB.Eu;1;08/02/19;10:56:00;75500.0000000;75500.0000000;75485.0000000;75485.0000000;262
SPFB.Eu;1;08/02/19;10:57:00;75486.0000000;75495.0000000;75484.0000000;75495.0000000;56
SPFB.Eu;1;08/02/19;10:58:00;75501.0000000;75505.0000000;75494.0000000;75505.0000000;25
SPFB.Eu;1;08/02/19;10:59:00;75504.0000000;75505.0000000;75495.0000000;75502.0000000;16
SPFB.Eu;1;08/02/19;11:00:00;75503.0000000;75527.0000000;75503.0000000;75523.0000000;43
SPFB.Eu;1;08/02/19;11:01:00;75517.0000000;75524.0000000;75508.0000000;75523.0000000;140
SPFB.Eu;1;08/02/19;11:02:00;75515.0000000;75523.0000000;75512.0000000;75512.0000000;55
SPFB.Eu;1;08/02/19;11:03:00;75507.0000000;75507.0000000;75504.0000000;75504.0000000;21
SPFB.Eu;1;08/02/19;11:04:00;75507.0000000;75507.0000000;75491.0000000;75491.0000000;20
SPFB.Eu;1;08/02/19;11:06:00;75491.0000000;75493.0000000;75490.0000000;75493.0000000;7
SPFB.Eu;1;08/02/19;11:07:00;75501.0000000;75522.0000000;75501.0000000;75515.0000000;31
