<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;15/06/18;10:01:00;73800.0000000;73800.0000000;73534.0000000;73560.0000000;679
SPFB.Eu;1;15/06/18;10:02:00;73560.0000000;73585.0000000;73544.0000000;73544.0000000;112
SPFB.Eu;1;15/06/18;10:03:00;73560.0000000;73589.0000000;73560.0000000;73589.0000000;15
SPFB.Eu;1;15/06/18;10:04:00;73559.0000000;73559.0000000;73527.0000000;73527.0000000;13
SPFB.Eu;1;15/06/18;10:05:00;73532.0000000;73532.0000000;73532.0000000;73532.0000000;3
SPFB.Eu;1;15/06/18;10:06:00;73636.0000000;73643.0000000;73636.0000000;73642.0000000;9
SPFB.Eu;1;15/06/18;10:07:00;73600.0000000;73609.0000000;73598.0000000;73609.0000000;3
SPFB.Eu;1;15/06/18;10:09:00;73658.0000000;73689.0000000;73658.0000000;73689.0000000;39
SPFB.Eu;1;15/06/18;10:10:00;73669.0000000;73669.0000000;73669.0000000;73669.0000000;1
SPFB.Eu;1;15/06/18;10:11:00;73646.0000000;73660.0000000;73645.0000000;73660.0000000;10
SPFB.Eu;1;15/06/18;10:12:00;73670.0000000;73686.0000000;73645.0000000;73686.0000000;10
SPFB.Eu;1;15/06/18;10:13:00;73663.0000000;73664.0000000;73645.0000000;73645.0000000;9
SPFB.Eu;1;15/06/18;10:14:00;73660.0000000;73660.0000000;73641.0000000;73660.0000000;46
SPFB.Eu;1;15/06/18;10:15:00;73660.0000000;73660.0000000;73629.0000000;73629.0000000;2
SPFB.Eu;1;15/06/18;10:16:00;73623.0000000;73626.0000000;73614.0000000;73614.0000000;4
SPFB.Eu;1;15/06/18;10:17:00;73627.0000000;73627.0000000;73615.0000000;73615.0000000;2
SPFB.Eu;1;15/06/18;10:18:00;73601.0000000;73622.0000000;73569.0000000;73616.0000000;179
SPFB.Eu;1;15/06/18;10:19:00;73626.0000000;73626.0000000;73563.0000000;73588.0000000;217
SPFB.Eu;1;15/06/18;10:20:00;73615.0000000;73615.0000000;73615.0000000;73615.0000000;4
SPFB.Eu;1;15/06/18;10:21:00;73625.0000000;73685.0000000;73625.0000000;73650.0000000;459
SPFB.Eu;1;15/06/18;10:22:00;73657.0000000;73665.0000000;73640.0000000;73664.0000000;426
SPFB.Eu;1;15/06/18;10:24:00;73634.0000000;73658.0000000;73634.0000000;73649.0000000;106
SPFB.Eu;1;15/06/18;10:25:00;73649.0000000;73680.0000000;73642.0000000;73658.0000000;595
SPFB.Eu;1;15/06/18;10:26:00;73660.0000000;73689.0000000;73660.0000000;73669.0000000;404
SPFB.Eu;1;15/06/18;10:27:00;73669.0000000;73703.0000000;73669.0000000;73691.0000000;378
SPFB.Eu;1;15/06/18;10:28:00;73700.0000000;73713.0000000;73700.0000000;73706.0000000;351
SPFB.Eu;1;15/06/18;10:29:00;73716.0000000;73716.0000000;73705.0000000;73714.0000000;198
SPFB.Eu;1;15/06/18;10:30:00;73714.0000000;73738.0000000;73709.0000000;73722.0000000;343
SPFB.Eu;1;15/06/18;10:31:00;73702.0000000;73729.0000000;73702.0000000;73729.0000000;235
SPFB.Eu;1;15/06/18;10:32:00;73729.0000000;73729.0000000;73714.0000000;73719.0000000;315
SPFB.Eu;1;15/06/18;10:33:00;73718.0000000;73733.0000000;73718.0000000;73729.0000000;18
SPFB.Eu;1;15/06/18;10:34:00;73728.0000000;73730.0000000;73709.0000000;73709.0000000;50
SPFB.Eu;1;15/06/18;10:35:00;73704.0000000;73709.0000000;73689.0000000;73702.0000000;135
SPFB.Eu;1;15/06/18;10:36:00;73709.0000000;73760.0000000;73709.0000000;73760.0000000;50
SPFB.Eu;1;15/06/18;10:37:00;73758.0000000;73762.0000000;73753.0000000;73762.0000000;14
SPFB.Eu;1;15/06/18;10:38:00;73770.0000000;73785.0000000;73757.0000000;73779.0000000;83
SPFB.Eu;1;15/06/18;10:39:00;73785.0000000;73800.0000000;73778.0000000;73800.0000000;61
SPFB.Eu;1;15/06/18;10:40:00;73799.0000000;73820.0000000;73799.0000000;73820.0000000;20
SPFB.Eu;1;15/06/18;10:41:00;73830.0000000;73893.0000000;73830.0000000;73893.0000000;30
SPFB.Eu;1;15/06/18;10:42:00;73893.0000000;73940.0000000;73893.0000000;73931.0000000;51
SPFB.Eu;1;15/06/18;10:43:00;73931.0000000;73943.0000000;73924.0000000;73943.0000000;70
SPFB.Eu;1;15/06/18;10:44:00;73942.0000000;73959.0000000;73925.0000000;73928.0000000;173
SPFB.Eu;1;15/06/18;10:45:00;73926.0000000;73929.0000000;73913.0000000;73919.0000000;66
SPFB.Eu;1;15/06/18;10:46:00;73919.0000000;73934.0000000;73919.0000000;73929.0000000;81
SPFB.Eu;1;15/06/18;10:47:00;73924.0000000;73949.0000000;73924.0000000;73949.0000000;115
SPFB.Eu;1;15/06/18;10:48:00;73967.0000000;73967.0000000;73967.0000000;73967.0000000;1
SPFB.Eu;1;15/06/18;10:49:00;73970.0000000;74023.0000000;73970.0000000;73995.0000000;114
SPFB.Eu;1;15/06/18;10:50:00;74018.0000000;74027.0000000;74018.0000000;74018.0000000;29
SPFB.Eu;1;15/06/18;10:51:00;74024.0000000;74030.0000000;74012.0000000;74012.0000000;40
SPFB.Eu;1;15/06/18;10:52:00;74018.0000000;74050.0000000;74018.0000000;74043.0000000;66
SPFB.Eu;1;15/06/18;10:53:00;74029.0000000;74034.0000000;74021.0000000;74034.0000000;80
SPFB.Eu;1;15/06/18;10:54:00;74022.0000000;74028.0000000;73990.0000000;74000.0000000;89
SPFB.Eu;1;15/06/18;10:55:00;73980.0000000;73981.0000000;73977.0000000;73977.0000000;5
SPFB.Eu;1;15/06/18;10:56:00;73971.0000000;73971.0000000;73969.0000000;73970.0000000;28
SPFB.Eu;1;15/06/18;10:57:00;73970.0000000;73987.0000000;73970.0000000;73987.0000000;18
SPFB.Eu;1;15/06/18;10:58:00;73988.0000000;73988.0000000;73988.0000000;73988.0000000;3
SPFB.Eu;1;15/06/18;10:59:00;73988.0000000;74010.0000000;73987.0000000;73988.0000000;79
SPFB.Eu;1;15/06/18;11:00:00;74000.0000000;74052.0000000;74000.0000000;74052.0000000;23
SPFB.Eu;1;15/06/18;11:01:00;74043.0000000;74097.0000000;74033.0000000;74097.0000000;43
SPFB.Eu;1;15/06/18;11:02:00;74100.0000000;74117.0000000;74060.0000000;74103.0000000;51
SPFB.Eu;1;15/06/18;11:03:00;74101.0000000;74107.0000000;74060.0000000;74060.0000000;51
SPFB.Eu;1;15/06/18;11:04:00;74060.0000000;74086.0000000;74060.0000000;74068.0000000;16
SPFB.Eu;1;15/06/18;11:05:00;74097.0000000;74119.0000000;74081.0000000;74081.0000000;20
SPFB.Eu;1;15/06/18;11:06:00;74069.0000000;74087.0000000;74038.0000000;74038.0000000;95
SPFB.Eu;1;15/06/18;11:07:00;74044.0000000;74069.0000000;74032.0000000;74051.0000000;30
SPFB.Eu;1;15/06/18;11:09:00;74062.0000000;74072.0000000;74062.0000000;74068.0000000;10
