<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;11/12/15;10:01:00;77820.0000000;77820.0000000;77790.0000000;77820.0000000;27
SPFB.Eu;1;11/12/15;10:03:00;77819.0000000;77819.0000000;77819.0000000;77819.0000000;200
SPFB.Eu;1;11/12/15;10:10:00;77830.0000000;77863.0000000;77830.0000000;77863.0000000;9
SPFB.Eu;1;11/12/15;10:19:00;77794.0000000;77794.0000000;77794.0000000;77794.0000000;1
SPFB.Eu;1;11/12/15;10:23:00;77750.0000000;77750.0000000;77750.0000000;77750.0000000;1
SPFB.Eu;1;11/12/15;10:31:00;77780.0000000;77780.0000000;77780.0000000;77780.0000000;200
SPFB.Eu;1;11/12/15;10:33:00;77800.0000000;77820.0000000;77800.0000000;77820.0000000;2
SPFB.Eu;1;11/12/15;10:37:00;77810.0000000;77810.0000000;77810.0000000;77810.0000000;9
SPFB.Eu;1;11/12/15;10:40:00;77790.0000000;77790.0000000;77790.0000000;77790.0000000;3
SPFB.Eu;1;11/12/15;10:49:00;77800.0000000;77800.0000000;77800.0000000;77800.0000000;1
SPFB.Eu;1;11/12/15;10:50:00;77800.0000000;77800.0000000;77800.0000000;77800.0000000;21
SPFB.Eu;1;11/12/15;10:51:00;77825.0000000;77840.0000000;77825.0000000;77840.0000000;1488
SPFB.Eu;1;11/12/15;10:52:00;77819.0000000;77830.0000000;77819.0000000;77830.0000000;11
SPFB.Eu;1;11/12/15;10:55:00;77795.0000000;77795.0000000;77795.0000000;77795.0000000;1
SPFB.Eu;1;11/12/15;11:02:00;77825.0000000;77825.0000000;77825.0000000;77825.0000000;1
SPFB.Eu;1;11/12/15;11:05:00;77830.0000000;77830.0000000;77830.0000000;77830.0000000;1
SPFB.Eu;1;11/12/15;11:06:00;77830.0000000;77860.0000000;77830.0000000;77860.0000000;79
SPFB.Eu;1;11/12/15;11:07:00;77865.0000000;77865.0000000;77865.0000000;77865.0000000;24
SPFB.Eu;1;11/12/15;11:17:00;77930.0000000;77930.0000000;77930.0000000;77930.0000000;54
SPFB.Eu;1;11/12/15;11:18:00;77949.0000000;77949.0000000;77949.0000000;77949.0000000;3
SPFB.Eu;1;11/12/15;11:28:00;77989.0000000;77989.0000000;77989.0000000;77989.0000000;1
SPFB.Eu;1;11/12/15;11:31:00;77941.0000000;77941.0000000;77941.0000000;77941.0000000;11
SPFB.Eu;1;11/12/15;11:32:00;78000.0000000;78000.0000000;78000.0000000;78000.0000000;156
SPFB.Eu;1;11/12/15;11:33:00;77974.0000000;78000.0000000;77974.0000000;78000.0000000;7
SPFB.Eu;1;11/12/15;11:36:00;78000.0000000;78000.0000000;78000.0000000;78000.0000000;340
