<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;06/09/19;10:01:00;73250.0000000;73250.0000000;73051.0000000;73120.0000000;722
SPFB.Eu;1;06/09/19;10:02:00;73118.0000000;73135.0000000;73044.0000000;73084.0000000;1371
SPFB.Eu;1;06/09/19;10:03:00;73080.0000000;73089.0000000;73059.0000000;73059.0000000;199
SPFB.Eu;1;06/09/19;10:04:00;73057.0000000;73057.0000000;73039.0000000;73044.0000000;392
SPFB.Eu;1;06/09/19;10:05:00;73043.0000000;73076.0000000;73020.0000000;73045.0000000;683
SPFB.Eu;1;06/09/19;10:06:00;73037.0000000;73051.0000000;73029.0000000;73042.0000000;111
SPFB.Eu;1;06/09/19;10:07:00;73034.0000000;73085.0000000;73034.0000000;73083.0000000;316
SPFB.Eu;1;06/09/19;10:08:00;73085.0000000;73095.0000000;73073.0000000;73078.0000000;400
SPFB.Eu;1;06/09/19;10:09:00;73086.0000000;73096.0000000;73081.0000000;73096.0000000;21
SPFB.Eu;1;06/09/19;10:10:00;73099.0000000;73110.0000000;73083.0000000;73088.0000000;181
SPFB.Eu;1;06/09/19;10:11:00;73088.0000000;73093.0000000;73054.0000000;73055.0000000;90
SPFB.Eu;1;06/09/19;10:12:00;73053.0000000;73078.0000000;73046.0000000;73078.0000000;53
SPFB.Eu;1;06/09/19;10:13:00;73075.0000000;73102.0000000;73075.0000000;73098.0000000;88
SPFB.Eu;1;06/09/19;10:14:00;73093.0000000;73097.0000000;73074.0000000;73075.0000000;25
SPFB.Eu;1;06/09/19;10:15:00;73081.0000000;73083.0000000;73070.0000000;73070.0000000;34
SPFB.Eu;1;06/09/19;10:16:00;73074.0000000;73077.0000000;73052.0000000;73053.0000000;112
SPFB.Eu;1;06/09/19;10:17:00;73053.0000000;73068.0000000;73043.0000000;73067.0000000;265
SPFB.Eu;1;06/09/19;10:18:00;73067.0000000;73072.0000000;73064.0000000;73070.0000000;28
SPFB.Eu;1;06/09/19;10:19:00;73065.0000000;73065.0000000;73062.0000000;73062.0000000;3
SPFB.Eu;1;06/09/19;10:20:00;73056.0000000;73058.0000000;73037.0000000;73037.0000000;27
SPFB.Eu;1;06/09/19;10:21:00;73040.0000000;73058.0000000;73034.0000000;73051.0000000;445
SPFB.Eu;1;06/09/19;10:22:00;73057.0000000;73060.0000000;73022.0000000;73022.0000000;186
SPFB.Eu;1;06/09/19;10:23:00;73029.0000000;73029.0000000;73010.0000000;73010.0000000;180
SPFB.Eu;1;06/09/19;10:24:00;73010.0000000;73010.0000000;72992.0000000;73003.0000000;499
