<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;17/12/21;07:01:00;85527.0000000;85536.0000000;85428.0000000;85452.0000000;172
SPFB.Eu;1;17/12/21;07:02:00;85515.0000000;85545.0000000;85445.0000000;85460.0000000;343
SPFB.Eu;1;17/12/21;07:03:00;85464.0000000;85510.0000000;85464.0000000;85498.0000000;92
SPFB.Eu;1;17/12/21;07:04:00;85513.0000000;85513.0000000;85500.0000000;85500.0000000;7
SPFB.Eu;1;17/12/21;07:05:00;85492.0000000;85522.0000000;85492.0000000;85520.0000000;83
SPFB.Eu;1;17/12/21;07:06:00;85500.0000000;85500.0000000;85476.0000000;85476.0000000;176
SPFB.Eu;1;17/12/21;07:07:00;85499.0000000;85504.0000000;85480.0000000;85480.0000000;16
SPFB.Eu;1;17/12/21;07:08:00;85481.0000000;85489.0000000;85475.0000000;85489.0000000;28
SPFB.Eu;1;17/12/21;07:09:00;85503.0000000;85545.0000000;85503.0000000;85545.0000000;17
SPFB.Eu;1;17/12/21;07:10:00;85523.0000000;85543.0000000;85522.0000000;85543.0000000;8
SPFB.Eu;1;17/12/21;07:11:00;85518.0000000;85518.0000000;85517.0000000;85517.0000000;9
SPFB.Eu;1;17/12/21;07:13:00;85543.0000000;85555.0000000;85543.0000000;85555.0000000;6
SPFB.Eu;1;17/12/21;07:14:00;85555.0000000;85570.0000000;85555.0000000;85567.0000000;30
SPFB.Eu;1;17/12/21;07:16:00;85567.0000000;85575.0000000;85548.0000000;85575.0000000;40
SPFB.Eu;1;17/12/21;07:17:00;85560.0000000;85560.0000000;85558.0000000;85558.0000000;7
SPFB.Eu;1;17/12/21;07:18:00;85565.0000000;85565.0000000;85544.0000000;85545.0000000;7
SPFB.Eu;1;17/12/21;07:19:00;85566.0000000;85566.0000000;85564.0000000;85564.0000000;9
SPFB.Eu;1;17/12/21;07:21:00;85574.0000000;85575.0000000;85560.0000000;85560.0000000;55
SPFB.Eu;1;17/12/21;07:22:00;85560.0000000;85560.0000000;85560.0000000;85560.0000000;1
SPFB.Eu;1;17/12/21;07:23:00;85560.0000000;85587.0000000;85560.0000000;85560.0000000;15
SPFB.Eu;1;17/12/21;07:24:00;85552.0000000;85552.0000000;85552.0000000;85552.0000000;3
SPFB.Eu;1;17/12/21;07:25:00;85560.0000000;85560.0000000;85560.0000000;85560.0000000;1
SPFB.Eu;1;17/12/21;07:26:00;85578.0000000;85578.0000000;85567.0000000;85567.0000000;6
SPFB.Eu;1;17/12/21;07:28:00;85588.0000000;85588.0000000;85567.0000000;85577.0000000;15
SPFB.Eu;1;17/12/21;07:29:00;85552.0000000;85561.0000000;85548.0000000;85561.0000000;22
SPFB.Eu;1;17/12/21;07:30:00;85546.0000000;85553.0000000;85544.0000000;85553.0000000;52
SPFB.Eu;1;17/12/21;07:31:00;85580.0000000;85588.0000000;85572.0000000;85588.0000000;14
SPFB.Eu;1;17/12/21;07:32:00;85590.0000000;85599.0000000;85588.0000000;85588.0000000;5
SPFB.Eu;1;17/12/21;07:33:00;85591.0000000;85595.0000000;85570.0000000;85570.0000000;53
SPFB.Eu;1;17/12/21;07:34:00;85591.0000000;85592.0000000;85591.0000000;85592.0000000;4
SPFB.Eu;1;17/12/21;07:36:00;85592.0000000;85600.0000000;85592.0000000;85600.0000000;27
SPFB.Eu;1;17/12/21;07:37:00;85607.0000000;85607.0000000;85607.0000000;85607.0000000;2
SPFB.Eu;1;17/12/21;07:40:00;85607.0000000;85607.0000000;85598.0000000;85598.0000000;4
SPFB.Eu;1;17/12/21;07:42:00;85612.0000000;85612.0000000;85612.0000000;85612.0000000;1
SPFB.Eu;1;17/12/21;07:45:00;85605.0000000;85605.0000000;85605.0000000;85605.0000000;1
SPFB.Eu;1;17/12/21;07:47:00;85591.0000000;85611.0000000;85591.0000000;85611.0000000;3
SPFB.Eu;1;17/12/21;07:50:00;85597.0000000;85597.0000000;85596.0000000;85596.0000000;8
SPFB.Eu;1;17/12/21;07:52:00;85610.0000000;85610.0000000;85574.0000000;85596.0000000;324
SPFB.Eu;1;17/12/21;07:53:00;85590.0000000;85609.0000000;85590.0000000;85609.0000000;5
SPFB.Eu;1;17/12/21;07:54:00;85611.0000000;85630.0000000;85602.0000000;85625.0000000;151
SPFB.Eu;1;17/12/21;07:55:00;85625.0000000;85625.0000000;85606.0000000;85606.0000000;15
SPFB.Eu;1;17/12/21;07:58:00;85607.0000000;85610.0000000;85607.0000000;85609.0000000;63
SPFB.Eu;1;17/12/21;08:00:00;85616.0000000;85617.0000000;85616.0000000;85617.0000000;20
SPFB.Eu;1;17/12/21;08:01:00;85610.0000000;85639.0000000;85610.0000000;85630.0000000;202
SPFB.Eu;1;17/12/21;08:02:00;85609.0000000;85612.0000000;85604.0000000;85612.0000000;34
SPFB.Eu;1;17/12/21;08:03:00;85617.0000000;85621.0000000;85617.0000000;85621.0000000;6
SPFB.Eu;1;17/12/21;08:04:00;85630.0000000;85630.0000000;85612.0000000;85612.0000000;5
SPFB.Eu;1;17/12/21;08:05:00;85640.0000000;85667.0000000;85639.0000000;85659.0000000;83
SPFB.Eu;1;17/12/21;08:06:00;85659.0000000;85708.0000000;85659.0000000;85704.0000000;1767
SPFB.Eu;1;17/12/21;08:07:00;85691.0000000;85714.0000000;85691.0000000;85714.0000000;148
SPFB.Eu;1;17/12/21;08:08:00;85693.0000000;85696.0000000;85692.0000000;85696.0000000;17
SPFB.Eu;1;17/12/21;08:09:00;85715.0000000;85730.0000000;85710.0000000;85723.0000000;71
SPFB.Eu;1;17/12/21;08:10:00;85731.0000000;85733.0000000;85722.0000000;85733.0000000;40
SPFB.Eu;1;17/12/21;08:11:00;85739.0000000;85764.0000000;85737.0000000;85752.0000000;85
SPFB.Eu;1;17/12/21;08:12:00;85738.0000000;85747.0000000;85736.0000000;85736.0000000;73
SPFB.Eu;1;17/12/21;08:13:00;85723.0000000;85723.0000000;85712.0000000;85712.0000000;3
SPFB.Eu;1;17/12/21;08:14:00;85714.0000000;85714.0000000;85714.0000000;85714.0000000;71
SPFB.Eu;1;17/12/21;08:15:00;85729.0000000;85729.0000000;85729.0000000;85729.0000000;4
SPFB.Eu;1;17/12/21;08:16:00;85740.0000000;85756.0000000;85740.0000000;85750.0000000;451
SPFB.Eu;1;17/12/21;08:17:00;85745.0000000;85745.0000000;85740.0000000;85742.0000000;40
SPFB.Eu;1;17/12/21;08:18:00;85747.0000000;85759.0000000;85747.0000000;85748.0000000;68
SPFB.Eu;1;17/12/21;08:19:00;85735.0000000;85735.0000000;85725.0000000;85725.0000000;78
SPFB.Eu;1;17/12/21;08:20:00;85720.0000000;85720.0000000;85714.0000000;85714.0000000;48
SPFB.Eu;1;17/12/21;08:21:00;85710.0000000;85732.0000000;85710.0000000;85732.0000000;66
SPFB.Eu;1;17/12/21;08:22:00;85724.0000000;85736.0000000;85724.0000000;85736.0000000;10
SPFB.Eu;1;17/12/21;08:24:00;85711.0000000;85711.0000000;85711.0000000;85711.0000000;35
SPFB.Eu;1;17/12/21;08:25:00;85711.0000000;85711.0000000;85702.0000000;85706.0000000;27
SPFB.Eu;1;17/12/21;08:26:00;85701.0000000;85709.0000000;85694.0000000;85708.0000000;99
SPFB.Eu;1;17/12/21;08:27:00;85697.0000000;85697.0000000;85697.0000000;85697.0000000;25
SPFB.Eu;1;17/12/21;08:28:00;85687.0000000;85690.0000000;85687.0000000;85687.0000000;67
SPFB.Eu;1;17/12/21;08:29:00;85690.0000000;85692.0000000;85685.0000000;85692.0000000;11
SPFB.Eu;1;17/12/21;08:31:00;85684.0000000;85713.0000000;85684.0000000;85687.0000000;569
SPFB.Eu;1;17/12/21;08:32:00;85689.0000000;85689.0000000;85689.0000000;85689.0000000;10
SPFB.Eu;1;17/12/21;08:33:00;85680.0000000;85680.0000000;85659.0000000;85659.0000000;58
SPFB.Eu;1;17/12/21;08:34:00;85667.0000000;85667.0000000;85661.0000000;85661.0000000;60
SPFB.Eu;1;17/12/21;08:35:00;85662.0000000;85671.0000000;85661.0000000;85671.0000000;91
SPFB.Eu;1;17/12/21;08:36:00;85670.0000000;85700.0000000;85642.0000000;85643.0000000;1078
SPFB.Eu;1;17/12/21;08:37:00;85640.0000000;85647.0000000;85635.0000000;85647.0000000;5
SPFB.Eu;1;17/12/21;08:38:00;85644.0000000;85650.0000000;85644.0000000;85650.0000000;73
SPFB.Eu;1;17/12/21;08:39:00;85648.0000000;85648.0000000;85643.0000000;85643.0000000;57
SPFB.Eu;1;17/12/21;08:40:00;85640.0000000;85640.0000000;85631.0000000;85631.0000000;41
SPFB.Eu;1;17/12/21;08:41:00;85631.0000000;85644.0000000;85631.0000000;85644.0000000;25
SPFB.Eu;1;17/12/21;08:42:00;85644.0000000;85644.0000000;85637.0000000;85637.0000000;12
SPFB.Eu;1;17/12/21;08:43:00;85638.0000000;85638.0000000;85638.0000000;85638.0000000;2
SPFB.Eu;1;17/12/21;08:44:00;85637.0000000;85637.0000000;85623.0000000;85623.0000000;70
SPFB.Eu;1;17/12/21;08:45:00;85620.0000000;85628.0000000;85592.0000000;85592.0000000;241
SPFB.Eu;1;17/12/21;08:46:00;85603.0000000;85633.0000000;85603.0000000;85631.0000000;202
SPFB.Eu;1;17/12/21;08:47:00;85629.0000000;85646.0000000;85629.0000000;85643.0000000;43
SPFB.Eu;1;17/12/21;08:48:00;85649.0000000;85650.0000000;85649.0000000;85650.0000000;13
SPFB.Eu;1;17/12/21;08:49:00;85646.0000000;85654.0000000;85645.0000000;85652.0000000;11
SPFB.Eu;1;17/12/21;08:50:00;85654.0000000;85655.0000000;85654.0000000;85655.0000000;17
SPFB.Eu;1;17/12/21;08:51:00;85656.0000000;85664.0000000;85656.0000000;85659.0000000;53
SPFB.Eu;1;17/12/21;08:52:00;85660.0000000;85660.0000000;85660.0000000;85660.0000000;1
SPFB.Eu;1;17/12/21;08:53:00;85650.0000000;85654.0000000;85649.0000000;85649.0000000;51
SPFB.Eu;1;17/12/21;08:54:00;85649.0000000;85655.0000000;85649.0000000;85655.0000000;6
