<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;14/02/14;10:01:00;48318.0000000;48377.0000000;48312.0000000;48377.0000000;85
SPFB.Eu;1;14/02/14;10:02:00;48376.0000000;48415.0000000;48376.0000000;48401.0000000;862
SPFB.Eu;1;14/02/14;10:03:00;48400.0000000;48410.0000000;48397.0000000;48403.0000000;286
SPFB.Eu;1;14/02/14;10:04:00;48402.0000000;48416.0000000;48401.0000000;48416.0000000;96
SPFB.Eu;1;14/02/14;10:05:00;48416.0000000;48425.0000000;48413.0000000;48425.0000000;178
SPFB.Eu;1;14/02/14;10:06:00;48420.0000000;48420.0000000;48408.0000000;48414.0000000;893
SPFB.Eu;1;14/02/14;10:07:00;48420.0000000;48451.0000000;48420.0000000;48451.0000000;469
SPFB.Eu;1;14/02/14;10:08:00;48455.0000000;48480.0000000;48450.0000000;48471.0000000;365
SPFB.Eu;1;14/02/14;10:09:00;48473.0000000;48500.0000000;48473.0000000;48500.0000000;642
SPFB.Eu;1;14/02/14;10:10:00;48492.0000000;48535.0000000;48491.0000000;48500.0000000;2837
SPFB.Eu;1;14/02/14;10:11:00;48502.0000000;48525.0000000;48486.0000000;48500.0000000;397
SPFB.Eu;1;14/02/14;10:12:00;48491.0000000;48503.0000000;48490.0000000;48490.0000000;99
SPFB.Eu;1;14/02/14;10:13:00;48490.0000000;48490.0000000;48465.0000000;48465.0000000;292
SPFB.Eu;1;14/02/14;10:14:00;48470.0000000;48471.0000000;48462.0000000;48462.0000000;103
SPFB.Eu;1;14/02/14;10:15:00;48469.0000000;48491.0000000;48469.0000000;48491.0000000;321
SPFB.Eu;1;14/02/14;10:16:00;48475.0000000;48475.0000000;48475.0000000;48475.0000000;43
SPFB.Eu;1;14/02/14;10:17:00;48480.0000000;48485.0000000;48471.0000000;48481.0000000;48
SPFB.Eu;1;14/02/14;10:18:00;48483.0000000;48494.0000000;48483.0000000;48494.0000000;142
SPFB.Eu;1;14/02/14;10:19:00;48495.0000000;48500.0000000;48479.0000000;48479.0000000;215
SPFB.Eu;1;14/02/14;10:20:00;48478.0000000;48478.0000000;48467.0000000;48467.0000000;543
SPFB.Eu;1;14/02/14;10:21:00;48467.0000000;48490.0000000;48467.0000000;48490.0000000;49
SPFB.Eu;1;14/02/14;10:22:00;48486.0000000;48490.0000000;48479.0000000;48481.0000000;68
SPFB.Eu;1;14/02/14;10:23:00;48480.0000000;48480.0000000;48479.0000000;48480.0000000;28
SPFB.Eu;1;14/02/14;10:24:00;48480.0000000;48480.0000000;48478.0000000;48480.0000000;38
SPFB.Eu;1;14/02/14;10:25:00;48478.0000000;48480.0000000;48478.0000000;48478.0000000;35
SPFB.Eu;1;14/02/14;10:26:00;48478.0000000;48478.0000000;48477.0000000;48477.0000000;420
SPFB.Eu;1;14/02/14;10:27:00;48477.0000000;48482.0000000;48470.0000000;48482.0000000;47
SPFB.Eu;1;14/02/14;10:28:00;48482.0000000;48484.0000000;48479.0000000;48479.0000000;47
SPFB.Eu;1;14/02/14;10:29:00;48479.0000000;48488.0000000;48478.0000000;48479.0000000;72
SPFB.Eu;1;14/02/14;10:30:00;48478.0000000;48488.0000000;48478.0000000;48480.0000000;70
SPFB.Eu;1;14/02/14;10:31:00;48487.0000000;48490.0000000;48480.0000000;48480.0000000;134
SPFB.Eu;1;14/02/14;10:32:00;48480.0000000;48480.0000000;48468.0000000;48471.0000000;85
SPFB.Eu;1;14/02/14;10:33:00;48471.0000000;48479.0000000;48470.0000000;48471.0000000;38
SPFB.Eu;1;14/02/14;10:34:00;48472.0000000;48475.0000000;48472.0000000;48472.0000000;158
SPFB.Eu;1;14/02/14;10:35:00;48473.0000000;48479.0000000;48471.0000000;48473.0000000;82
SPFB.Eu;1;14/02/14;10:36:00;48480.0000000;48480.0000000;48479.0000000;48479.0000000;61
SPFB.Eu;1;14/02/14;10:37:00;48474.0000000;48474.0000000;48471.0000000;48474.0000000;54
SPFB.Eu;1;14/02/14;10:38:00;48471.0000000;48474.0000000;48470.0000000;48470.0000000;54
SPFB.Eu;1;14/02/14;10:39:00;48471.0000000;48480.0000000;48471.0000000;48480.0000000;905
SPFB.Eu;1;14/02/14;10:40:00;48480.0000000;48485.0000000;48480.0000000;48483.0000000;48
SPFB.Eu;1;14/02/14;10:41:00;48479.0000000;48479.0000000;48477.0000000;48477.0000000;7
SPFB.Eu;1;14/02/14;10:42:00;48482.0000000;48482.0000000;48469.0000000;48471.0000000;116
SPFB.Eu;1;14/02/14;10:43:00;48466.0000000;48470.0000000;48462.0000000;48470.0000000;25
SPFB.Eu;1;14/02/14;10:44:00;48470.0000000;48482.0000000;48462.0000000;48465.0000000;5261
SPFB.Eu;1;14/02/14;10:46:00;48473.0000000;48473.0000000;48465.0000000;48465.0000000;32
SPFB.Eu;1;14/02/14;10:47:00;48466.0000000;48478.0000000;48466.0000000;48478.0000000;183
SPFB.Eu;1;14/02/14;10:48:00;48474.0000000;48474.0000000;48474.0000000;48474.0000000;203
SPFB.Eu;1;14/02/14;10:49:00;48471.0000000;48476.0000000;48471.0000000;48476.0000000;31
SPFB.Eu;1;14/02/14;10:50:00;48472.0000000;48476.0000000;48470.0000000;48470.0000000;112
SPFB.Eu;1;14/02/14;10:51:00;48469.0000000;48483.0000000;48469.0000000;48478.0000000;225
SPFB.Eu;1;14/02/14;10:52:00;48474.0000000;48474.0000000;48473.0000000;48473.0000000;122
SPFB.Eu;1;14/02/14;10:53:00;48478.0000000;48485.0000000;48474.0000000;48478.0000000;379
SPFB.Eu;1;14/02/14;10:54:00;48480.0000000;48487.0000000;48470.0000000;48470.0000000;98
SPFB.Eu;1;14/02/14;10:55:00;48469.0000000;48476.0000000;48465.0000000;48472.0000000;68
SPFB.Eu;1;14/02/14;10:56:00;48470.0000000;48470.0000000;48470.0000000;48470.0000000;1
SPFB.Eu;1;14/02/14;10:57:00;48465.0000000;48468.0000000;48465.0000000;48465.0000000;60
