,date,ofz2,ofz2_previous,delta_ofz2,ofz4,ofz4_previous,delta_ofz4,ofz6,ofz6_previous,delta_ofz6,ofz10,ofz10_previous,delta_ofz10,ofz15,ofz15_previous,delta_ofz15
26,2018-09-14,10033.0,10182.0,-0.014633667255941857,10094.0,10093.0,9.907856930545922e-05,9805.0,9805.0,0.0,9515.0,9554.0,-0.00408205987021143,9187.0,9181.0,0.0006535235813092256
27,2018-07-27,0.0,9902.0,0.0,9898.0,9902.0,-0.0004039587962027873,10113.0,10115.0,-0.0001977261492832427,9884.0,9893.0,-0.000909734155463459,10243.0,10235.0,0.0007816316560820713
28,2018-06-15,9995.0,9996.0,-0.00010004001600640257,10030.0,10030.0,0.0,10257.0,10268.0,-0.0010712894429294898,9970.0,10007.0,-0.003697411811731788,10387.0,10412.0,-0.002401075681905494
29,2018-04-27,10038.0,10036.0,0.00019928258270227183,9974.0,9972.0,0.00020056157240272763,10095.0,10093.0,0.00019815713861091845,9870.0,9943.0,-0.007341848536658956,10808.0,10838.0,-0.002768038383465584
30,2018-03-23,10168.0,10115.0,0.005239742956005932,10111.0,10097.0,0.0013865504605328316,10300.0,10276.0,0.0023355391202802647,10168.0,10135.0,0.0032560434139121855,11094.0,11062.0,0.00289278611462665
31,2018-02-09,10068.0,10062.0,0.0005963029218843172,10229.0,10231.0,-0.0001954843123839312,10394.0,10394.0,0.0,9900.0,9951.0,-0.0051251130539644255,12016.0,12037.0,-0.001744620752679239
32,2017-12-15,10052.0,10044.0,0.0007964954201513341,10129.0,10121.0,0.0007904357276948918,10188.0,10180.0,0.0007858546168958742,9610.0,9603.0,0.0007289388732687702,11673.0,11671.0,0.00017136492160054837
33,2017-10-27,10129.0,10129.0,0.0,10161.0,10167.0,-0.0005901445854234287,10155.0,10165.0,-0.000983767830791933,9886.0,9885.0,0.00010116337885685381,10710.0,10710.0,0.0
34,2017-09-15,0.0,10105.0,0.0,10168.0,10119.0,0.004842375728826959,10120.0,10126.0,-0.0005925340707090658,9901.0,9909.0,-0.000807346856393178,10688.0,10705.0,-0.001588042970574498
35,2017-07-28,9949.0,9896.0,0.005355699272433306,9737.0,9735.0,0.00020544427324088342,9960.0,9960.0,0.0,10108.0,10091.0,0.0016846695074819145,10658.0,10647.0,0.0010331548793087255
36,2017-06-16,9957.0,9950.0,0.0007035175879396985,9799.0,9834.0,-0.003559080740288794,10025.0,10059.0,-0.003380057659807138,10102.0,10145.0,-0.004238541153277477,10708.0,10768.0,-0.005572065378900446
37,2017-04-28,9960.0,9957.0,0.00030129557095510696,9998.0,10006.0,-0.0007995202878273036,9940.0,9930.0,0.0010070493454179255,10143.0,10146.0,-0.00029568302779420464,11182.0,11066.0,0.010482559190312669
38,2017-03-24,9918.0,9920.0,-0.00020161290322580645,9947.0,9946.0,0.00010054293183189222,9852.0,9858.0,-0.0006086427267194157,10010.0,10000.0,0.001,10984.0,10980.0,0.00036429872495446266
39,2017-02-03,9943.0,9941.0,0.00020118700331958554,9900.0,9883.0,0.0017201254679753111,9688.0,9666.0,0.002276019035795572,9582.0,9590.0,-0.0008342022940563086,10904.0,10870.0,0.0031278748850045997
40,2016-12-16,9880.0,9879.0,0.00010122482032594392,9796.0,9798.0,-0.00020412329046744235,9530.0,9529.0,0.000104942806170637,9356.0,9379.0,-0.002452287024203007,10570.0,10629.0,-0.005550851444162197
41,2016-10-28,10023.0,10023.0,0.0,9927.0,9927.0,0.0,9880.0,9902.0,-0.00222177337911533,10026.0,10069.0,-0.004270533320091369,10095.0,10146.0,-0.005026611472501478
42,2016-09-16,10050.0,10056.0,-0.0005966587112171838,10037.0,10072.0,-0.0034749801429706114,0.0,10069.0,0.0,10263.0,10276.0,-0.00126508369015181,10407.0,10420.0,-0.0012476007677543186
43,2016-07-29,9926.0,9910.0,0.0016145307769929364,0.0,9816.0,0.0,9931.0,9875.0,0.0056708860759493674,9858.0,9811.0,0.004790541229232494,10508.0,10494.0,0.0013340956737183153
