,date,key_rate_ofz2,pure_monetary_shock_ofz2,capured_monetary_shock_ofz2,news_component_ofz2,pure_monetary_shock_ofz4,capured_monetary_shock_ofz4,news_component_ofz4,pure_monetary_shock_ofz6,capured_monetary_shock_ofz6,news_component_ofz6,pure_monetary_shock_ofz10,capured_monetary_shock_ofz10,news_component_ofz10,pure_monetary_shock_ofz15,capured_monetary_shock_ofz15,news_component_ofz15,pure_monetary_shock_one_component,capured_monetary_shock_one_component,news_component_one_component,pure_monetary_shock_uip_based_usd,capured_monetary_shock_uip_based_usd,news_component_uip_based_usd,pure_monetary_shock_uip_based_eur,capured_monetary_shock_uip_based_eur,news_component_uip_based_eur
0,2021-12-17 13:30:00,5.5,-5.817150729515481e-05,0.0,5.817150729515481e-05,0.000564171749254,0.001010713563776,0.0004465418145219,0.0003480736153704,0.0003859141341051,3.784051873464457e-05,0.0061621094356022,0.0011808520301571,-0.0049812574054451,0.0008681898171965,0.0022431583669807,0.0013749685497841,-0.2159505981990322,-0.4199347080292451,-0.2039841098302128,0.1639284214848611,0.12418098865797515,-0.03974743282688593,-0.007776615063785082,-0.0007249176210621933,0.007051697442722889
1,2021-10-22 13:30:00,5.5,0.0010069266998297,9.97207818109294e-05,-0.0009072059180188,-0.0082672971221381,-0.0115768463073852,-0.003309549185247,0.0041037724226689,0.0,-0.0041037724226689,0.0053434450186287,0.0003621876131836,-0.0049812574054451,-0.0036199637383354,-0.0022232103156958,0.0013967534226396,-0.0306915816050191,0.0946780735545595,0.1253696551595786,0.06763911112057074,0.03210688790397365,-0.03553222321659709,-0.07352160529152825,-0.05837323244035686,0.01514837285117139
2,2021-09-10 13:30:00,5.5,-0.0009293795452285,-0.0006021073758153,0.0003272721694132,-0.0016377581102192,-0.0004904845987835,0.0011472735114357,-0.0026858954180661,-0.0006619385342789,0.0020239568837872,0.0047455264211622,-0.0002829387909082,-0.0050284652120704,-0.0039315832825008,-0.0025676295277395,0.0013639537547613,0.1607264211542238,-0.1049998492053176,-0.2657262703595414,-0.12908587520130704,-0.15645262655437842,-0.027366751353071386,-0.06485357980184053,-0.028184272087532235,0.0366693077143083
3,2021-07-23 13:30:00,5.5,-0.0011943972511173,-0.0004035105417129,0.0007908867094044,-0.0050168938461493,-0.0034684372212862,0.0015484566248631,-0.001802385681714,0.0,0.001802385681714,0.001572486871851,-0.0049604120957741,-0.0065328989676251,-0.0019309628864817,-0.0004666355576294,0.0014643273288523,0.5991059417377218,0.082691057805105,-0.5164148839326167,0.010282009581874724,-0.042782183230518744,-0.05306419281239347,-0.00716288915807793,-0.02007046538243018,-0.01290757622435225
4,2021-06-11 13:30:00,7.0,-0.0047365113743151,-0.0037517744879334,0.0009847368863817,-0.0061469407236791,-0.0029207372343639,0.0032262034893152,-0.0037663259348608,0.0,0.0037663259348608,0.001997001119008,-0.0018502288440938,-0.0038472299631018,-0.029754279629646,-0.0306742640075973,-0.0009199843779512,1.7032869654972576,1.0776626069635535,-0.6256243585337041,0.04694935434233302,-0.008025594677944134,-0.05497494902027716,0.02575246599564899,0.004855949228230368,-0.020896516767418622
5,2021-04-23 13:30:00,7.0,-0.0041681408637575,-0.0045591130452802,-0.0003909721815226,-0.0121230343903433,-0.0133056133056133,-0.0011825789152699,-0.0196473097096882,-0.0213166144200626,-0.0016693047103743,-0.0178421574739632,-0.0246153846153846,-0.0067732271414213,0.0052772121239856,0.0047393364928909,-0.0005378756310947,1.8395230460608272,1.7280987297117882,-0.1114243163490389,0.11808291204024543,0.08291485403868204,-0.0351680580015634,-0.0176867130914906,0.0016144944540437277,0.019301207545534327
6,2021-03-19 13:30:00,7.5,-0.0046842723191933,-0.0049847405900305,-0.0003004682708371,-0.0055860858499828,-0.0071753410813542,-0.0015892552313713,-0.0300748031882652,-0.0319062181447502,-0.0018314149564849,-0.0167493813148063,-0.0202600544299969,-0.0035106731151905,-0.0098643881077802,-0.0113751965227041,-0.0015108084149238,2.2684287747875134,2.190057726164804,-0.0783710486227091,0.0778705012285027,0.039635993961704585,-0.038234507266798105,-0.021975631633933686,-0.003002399972738523,0.01897323166119516
7,2021-02-12 13:30:00,7.5,-0.0006118376064772,9.986019572598362e-05,0.0007116978022032,-0.0022362123962523,0.0,0.0022362123962523,-0.0050364410150762,-0.0024642681123706,0.0025721729027056,0.0062633646882415,-0.000712033363849,-0.0069753980520905,-0.0031327337439709,-0.0044709388971684,-0.0013382051531974,0.4341974474654778,-0.0545348197704832,-0.4887322672359611,0.060679340935988035,0.017831698864787415,-0.04284764207120062,-0.014467215693440675,-0.010316881555368085,0.00415033413807259
8,2020-12-18 13:30:00,8.0,-0.0022440141359772,-0.0013139276329088,0.0009300865030684,-0.0024944315185416,0.0002082682495053,0.0027026997680469,-0.0058353423538208,-0.0029411764705882,0.0028941658832326,-0.0016500639120318,0.0013694301063941,0.0030194940184259,-0.0017902651282247,-0.0043455768235902,-0.0025553116953654,0.3924626634248658,-0.0303497340728734,-0.4228123974977392,-0.05251386560439653,-0.05776992957742886,-0.005256063973032327,-0.05972108163232693,0.014587191075720573,0.0743082727080475
9,2020-10-23 13:30:00,8.0,-0.0029286359664938,-0.0022362268753811,0.0006924090911127,-0.0049255877462855,-0.0033801626703285,0.001545425075957,-0.0020575675109398,0.0,0.0020575675109398,-0.0038989133709484,-0.0035273368606701,0.0003715765102783,-0.0202233446479008,-0.0226262227052662,-0.0024028780573653,1.1793646322428817,0.8249000822998572,-0.3544645499430243,-0.11624237494657372,-0.1373975471373585,-0.021155172190784777,-0.03534550527452571,0.01378058180547459,0.0491260870800003
