,year,quarter,month,cpi_to_2010,monthly_inflation,ip_to_2014,ip,credit_spread,vix,neer,mortgage_spread,pure_monetary_shock_ofz2,capured_monetary_shock_ofz2,news_component_ofz2,pure_monetary_shock_ofz4,capured_monetary_shock_ofz4,news_component_ofz4,pure_monetary_shock_ofz6,capured_monetary_shock_ofz6,news_component_ofz6,pure_monetary_shock_ofz10,capured_monetary_shock_ofz10,news_component_ofz10,pure_monetary_shock_ofz15,capured_monetary_shock_ofz15,news_component_ofz15,pure_monetary_shock_one_component,capured_monetary_shock_one_component,news_component_one_component,pure_monetary_shock_uip_based_usd,capured_monetary_shock_uip_based_usd,news_component_uip_based_usd,pure_monetary_shock_uip_based_eur,capured_monetary_shock_uip_based_eur,news_component_uip_based_eur,key_rate
24,2015,4,10,149.38648313776258,0.7000000000000028,92.23024861008507,105.2,83.00181818181818,16.789545454545454,54.48,3.27,-0.0006201735599531,0.0,0.0006201735599531,-0.0177746945843052,-0.0175267770204479,0.0002479175638573,0.0002178280902806,0.0001947230065232,-2.3105083757479945e-05,-0.0044523416337506,-0.0016598320640499,0.0027925095697007,-0.0120727864470681,-0.0130744462874426,-0.0010016598403744,1.071309376447958,0.7018890645616179,-0.3694203118863401,-0.5643094534549009,-0.6209468882093205,-0.0566374347544195,0.0103464405970761,-0.0094476781952527,-0.0197941187923289,7.0
25,2015,4,11,150.5815750028647,0.7999999999999972,91.76909736703465,99.5,93.841,16.21,54.21,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
26,2015,4,12,151.7862276028876,0.7999999999999972,99.01885605903038,107.9,1.6782608695652173,18.025454545454547,50.15,3.42,0.0032682186511716,0.0021627998427054,-0.0011054188084662,0.0049809574535974,0.001362132710644,-0.0036188247429534,0.0062209455682222,0.0010432473444613,-0.0051776982237609,-0.0001232057960164,0.0018537399202891,0.0019769457163055,0.000872487122274,-0.0002635046113306,-0.0011359917336046,-0.7288996002416521,-0.541436936783855,0.1874626634577971,0.2535761062562252,0.2093763037129757,-0.0441998025432494,-0.0094242549876288,-0.0027496007833258,0.006674654204303,7.25
27,2016,1,1,153.30408987891647,1.0,81.88859396081813,82.7,-88.35444444444445,23.717894736842105,46.16,2.92,0.0019315812503137,9.884353069091628e-05,-0.0018327377196228,0.0061195618872714,0.0,-0.0061195618872714,0.0075722215487743,-0.0003875968992248,-0.0079598184479991,-0.001401531330225,0.0005695301376364,0.0019710614678614,0.002365517556237,0.000453514739229,-0.001912002817008,-0.7062311249739323,-0.2875954127574204,0.4186357122165118,0.0256256466965764,-0.0184721277924954,-0.0440977744890718,-0.008552917913728,-0.0030383056557339,0.005514612257994,7.5
28,2016,1,2,154.22391441818996,0.5999999999999943,81.97048255477894,100.1,-49.38380952380952,22.517,45.48,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
29,2016,1,3,154.99503399028092,0.5,89.9216193625925,109.7,-2.4272727272727277,15.84909090909091,49.7,2.83,-0.0007046791555621,-0.0004952947003467,0.0002093844552154,-0.0015368759441119,0.0,0.0015368759441119,-0.0004424925918465,0.0006008411776487,0.0010433337694952,-0.0005539665165142,0.0010580992689495,0.0016120657854637,0.0035233616818737,0.0013604120104946,-0.0021629496713791,-0.0410080110170938,-0.3273672764570565,-0.2863592654399626,0.2098203153807001,0.1406091391032335,-0.0692111762774665,0.0365069585270848,2.912596573940301e-05,-0.0364778325613454,7.75
30,2016,2,4,155.61501412624204,0.4000000000000057,84.79608705892471,94.3,-21.98095238095238,14.300476190476191,51.55,3.65,-0.0007211964438946,0.0,0.0007211964438946,-0.0032908724368584,-0.0013005202080832,0.0019903522287752,-0.0027481774127725,-0.0010978043912175,0.001650373021555,-0.0026436088358103,-0.0015281757402101,0.0011154330956002,0.0003679957735911,-0.0017228177641653,-0.0020908135377564,0.3625779851024517,-0.0998903284023592,-0.462468313504811,0.279495899849294,0.2010150194337606,-0.0784808804155334,0.1985275250773474,0.144721856154778,-0.0538056689225693,7.75
31,2016,2,5,156.23747418274704,0.4000000000000057,84.3721066236301,99.5,-20.14842105263158,14.852857142857141,52.41,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
32,2016,2,6,156.86242407947805,0.4000000000000057,86.3126650759736,102.3,-16.10809523809524,17.774545454545457,53.18,4.19,0.0003065584482338,0.0009928514694201,0.0006862930211862,-0.0011980771567477,0.0,0.0011980771567477,-0.0025695713674129,-0.0003795066413662,0.0021900647260467,-0.0019173343461887,-0.0009861932938856,0.0009311410523031,0.0004070598378488,-0.0018108651911468,-0.0022179250289956,0.0924913094885483,-0.2386250160970321,-0.3311163255855805,-0.126967026774376,-0.1721821497307686,-0.0452151229563926,-0.0038381987115958,0.002020612947808,0.0058588116594039,7.75
33,2016,3,7,157.64673619987542,0.5,86.74422840135347,100.5,-5.526190476190476,13.1585,54.38,4.24,0.002371031926479,0.00099850224663,-0.001372529679849,0.0032137361976317,-0.0029664787896766,-0.0061802149873083,0.0072065107343123,0.0,-0.0072065107343123,0.0064184436954298,-0.0010208248264597,-0.0074392685218895,0.0016024807892376,0.0,-0.0016024807892376,-0.5773656798562161,-0.2062319493042096,0.3711337305520065,-0.0051741550816584,-0.0430138932660712,-0.0378397381844128,-0.0231150058352508,-0.0037330673270224,0.0193819385082283,7.75
34,2016,3,8,157.64673619987542,0.0,88.7393456545846,102.3,17.491304347826087,12.399565217391304,53.33,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75
