,year,quarter,month,cpi,ip,credit_spread,vix,neer,mortgage_spread,monetary_shock,monetary_shock_2
0,2013,4,10,119.15201255084607,,,15.407826086956522,92.92,,-0.0002486341621953,0.0
1,2013,4,11,119.86692462615115,,,12.924000000000001,91.93,,0.000154955206726,0.0
2,2013,4,12,120.4662592492819,,,14.192380952380953,91.05,,-0.0024739035804542,0.0
3,2014,1,1,121.1890568047776,,139.27,14.24095238095238,89.1,1.29,0.0,0.0
4,2014,1,2,122.03738020241104,,110.88250000000001,15.47,85.09,0.5,0.0019666458103029,0.0
5,2014,1,3,123.25775400443516,,62.38333333333333,14.836666666666666,82.93,0.7,-0.0030222715557934,-0.0060136687659061
6,2014,2,4,124.36707379047508,,69.12,14.19809523809524,83.9,0.14,-0.0021668191188642,0.0
7,2014,2,5,125.48637745458936,,56.9645,12.475238095238096,85.91,0.21,0.0,0.0
8,2014,2,6,126.23929571931689,,94.18714285714286,11.541428571428572,87.53,0.2,-0.002228032021049,0.0
9,2014,3,7,126.87049219791346,,79.58739130434783,12.296363636363635,86.77,1.11,-0.0033632790232184,0.0
10,2014,3,8,127.1242331823093,,69.5352380952381,13.491904761904761,84.07,0.6,0.0,0.0
11,2014,3,9,128.01410281458547,,47.41909090909091,13.466666666666667,81.51,0.56,-0.0031792259349986,0.0
12,2014,4,10,129.03821563710216,,53.48086956521739,18.058695652173913,76.51,0.79,0.0013802678044264,0.0
13,2014,4,11,130.7157124403845,,89.54421052631578,13.413157894736841,68.95,0.79,0.0,0.0
14,2014,4,12,134.1143209638345,,62.93565217391304,16.292272727272728,56.85,0.17,-0.0308662244861409,0.0048597195646232
15,2015,1,1,139.34477948142404,89.0,57.433684210526316,19.1195,51.54,0.42,0.0111190165432488,0.0
16,2015,1,2,142.41036463001538,89.71199999999999,261.85473684210524,15.90421052631579,52.22,2.53,0.0,0.0
17,2015,1,3,144.11928900557558,92.04451199999998,106.86761904761906,14.812727272727273,57.38,3.09,0.0088206761905451,0.0
18,2015,2,4,144.83988545060345,99.86829551999998,4.119545454545454,13.494761904761905,65.0,2.96,0.0040915680716424,0.0
19,2015,2,5,145.41924499240588,82.49121209951998,22.077777777777776,13.3385,66.99,3.1,0.0,0.0
20,2015,2,6,145.7100834823907,80.18145816073343,3.9995238095238093,14.339545454545457,62.19,2.93,0.0058834101265454,0.0
21,2015,3,7,146.8757641502498,88.92123710025338,38.55434782608695,14.352272727272727,59.76,2.28,0.0026967100584847,0.0
22,2015,3,8,147.46326720685082,84.74193895654147,8.017619047619046,19.42809523809524,52.44,2.25,0.0,0.0
23,2015,3,9,148.34804681009192,83.80977762801953,15.69090909090909,24.377142857142857,51.84,2.38,0.0,0.0
