,date,pure_monetary_shock,capured_monetary_shock,news_component,key_rate
0,2021-12-17 13:30:00,0.002353082065021761,0.0021367521367521,-0.00021632992826966092,8.5
1,2021-10-22 13:30:00,-0.00112178220692599,-0.0007145044401347,0.0004072777667912901,7.5
2,2021-09-10 13:30:00,0.001116433313789069,0.0009027986758952,-0.00021363463789386892,6.75
3,2021-07-23 13:30:00,0.003664710237127192,0.0019019019019019,-0.001762808335225292,6.5
4,2021-06-11 13:30:00,0.0010058318279501386,0.0,-0.0010058318279501386,5.5
5,2021-04-23 13:30:00,-0.001170047950268354,0.0002010454362685,0.001371093386536854,5.0
6,2021-03-19 13:30:00,-0.006301047668335549,-0.0048168590065228,0.001484188661812749,4.5
7,2021-02-12 13:30:00,-0.0009552020982044336,0.0,0.0009552020982044336,4.25
8,2020-12-18 13:30:00,-0.002179159129962905,0.0,0.002179159129962905,4.25
9,2020-10-23 13:30:00,0.0007206533435716084,0.0,-0.0007206533435716084,4.25
10,2020-09-18 13:30:00,-0.0018096384514939415,-0.0019024732151797,-9.283476368575854e-05,4.25
11,2020-07-24 13:30:00,-0.002300328240371138,0.0,0.002300328240371138,4.25
12,2020-06-19 13:30:00,0.0012954466666672002,0.0,-0.0012954466666672002,4.5
13,2020-04-24 13:30:00,0.0017035531011103423,0.0031926568891549,0.0014891037880445579,5.5
14,2020-03-20 13:30:00,0.007082661262517653,0.007578947368421,0.0004962861059033469,6.0
15,2020-02-07 13:30:00,0.00017865618779903882,-0.0016853375632001,-0.0018639937509991387,6.0
16,2019-12-13 13:30:00,0.009897613879691711,0.0101293751880453,0.00023176130835358852,6.25
17,2019-10-25 13:30:00,-0.001184361217929908,0.0,0.001184361217929908,6.5
18,2019-09-06 13:30:00,-0.0016619952597181566,0.0,0.0016619952597181566,7.0
19,2019-07-26 13:30:00,0.0014101601451714917,0.0021627998427054,0.0007526396975339081,7.25
20,2019-06-14 13:30:00,0.0017908314043042146,9.884353069091628e-05,-0.0016919878736132983,7.5
21,2019-04-26 13:30:00,-0.001494960855661494,-0.0004952947003467,0.000999666155314794,7.75
22,2019-03-22 13:30:00,-0.00025043291011735586,0.0,0.00025043291011735586,7.75
23,2019-02-08 13:30:00,-0.002943849747478314,0.0009928514694201,0.003936701216898414,7.75
24,2018-12-14 13:30:00,0.002781936249958655,0.00099850224663,-0.0017834340033286548,7.75
25,2018-10-26 13:30:00,0.0015753934955131208,-0.0001994415636218,-0.0017748350591349207,7.5
26,2018-09-14 13:30:00,-0.014763792220809879,-0.0146336672559418,0.00013012496486807863,7.5
27,2018-07-27 13:30:00,0.00124592840764504,0.0,-0.00124592840764504,7.25
28,2018-06-15 13:30:00,-0.0005739548738140094,-0.0001000400160064,0.00047391485780760937,7.25
29,2018-04-27 13:30:00,0.0003952106914113775,0.0001992825827022,-0.0001959281087091775,7.25
30,2018-03-23 13:30:00,0.0028850499158043657,0.0052397429560059,0.002354693040201534,7.25
31,2018-02-09 13:30:00,0.003718694516451144,0.0005963029218843,-0.003122391594566844,7.5
32,2017-12-15 13:30:00,0.0024226046032698985,0.0007964954201513,-0.0016261091831185988,7.75
33,2017-10-27 13:30:00,-0.0002578758322068061,0.0,0.0002578758322068061,8.25
34,2017-09-15 13:30:00,0.0028949812150175064,0.0,-0.0028949812150175064,8.5
35,2017-07-28 13:32:00,0.0027673080535938525,0.0053556992724333,0.0025883912188394476,9.0
36,2017-06-16 13:30:00,-0.0013763402112619005,0.0007035175879396,0.0020798577992015006,9.0
37,2017-04-28 13:30:00,0.003035427493288872,0.0003012955709551,-0.0027341319223337717,9.25
38,2017-03-24 13:30:00,-0.0006173767871243132,-0.0002016129032258,0.00041576388389851323,9.75
39,2017-02-03 13:30:00,0.0001441934987945211,0.0002011870033195,5.69935045249789e-05,10.0
40,2016-12-16 13:30:00,0.0024438865025280107,0.0001012248203259,-0.0023426616822021106,10.0
41,2016-10-28 13:30:00,0.001867280134991358,0.0,-0.001867280134991358,10.0
42,2016-09-16 13:29:00,0.00041515850081036865,-0.0005966587112171,-0.0010118172120274686,10.0
43,2016-07-29 13:30:00,0.003220397459732667,0.0016145307769929,-0.0016058666827397671,10.5
44,2016-06-10 13:30:00,-0.0016555718746868865,-0.0005056634304207,0.0011499084442661864,10.5
45,2016-04-29 13:30:00,-0.0008412332700228906,0.0002982996917569,0.0011395329617797905,11.0
46,2016-03-18 13:30:00,0.0007450093017958921,0.0009910802775024,0.00024607097570650786,11.0
47,2016-01-29 13:30:00,0.007186146647821819,0.007070707070707,-0.00011543957711481861,11.0
48,2015-12-11 13:30:00,-0.01504609414079304,-0.0166336633663366,-0.0015875692255435596,11.0
49,2015-10-30 13:30:00,-0.000870105903886887,9.823182711198428e-05,0.0009683377309988713,11.0
50,2015-07-31 13:30:00,0.0026967100584847315,0.0040201005025125,0.0013233904440277686,11.0
51,2015-06-15 13:30:00,0.005883410126545444,-0.0010060362173038,-0.006889446343849244,11.5
52,2015-04-30 13:28:00,0.004091568071642451,-0.0019704433497536,-0.006062011421396051,12.5
53,2015-03-13 13:28:00,0.008820676190545138,0.004601226993865,-0.0042194491966801384,14.0
54,2015-01-30 13:29:00,0.01111901654324888,0.002840909090909,-0.00827810745233988,15.0
55,2014-12-16 00:44:00,-0.030866224486140913,-0.0396311340432539,-0.008764909557112985,17.0
56,2014-12-11 13:29:00,0.004859719564623285,0.008130081300813,0.0032703617361897154,10.5
57,2014-10-31 13:30:00,0.0013802678044264808,0.0043298969072164,0.002949629102789919,9.5
